"Sequence","Attribute","Display Type","Values"
"20","Ancho Corbata","Radio","Ancho Corbata: 6 cm"
"","","","Ancho Corbata: 6.5 cm"
"","","","Ancho Corbata: 7 cm"
"","","","Ancho Corbata: 7.5 cm"
"21","Color","Color","Color: Azul"
"","","","Color: Blanco"
"","","","Color: Negro"
"","","","Color: Gris"
"","","","Color: Azul Marino"
"","","","Color: Vino"
"","","","Color: Rojo"
"","","","Color: Verde"
"","","","Color: Multicolor"
"22","Marca","Radio","Marca: Bruno Cassini"
"","","","Marca: TED Lapidus"
"","","","Marca: Original Penguin"
"","","","Marca: Perry Ellis"
"","","","Marca: BFL"
"","","","Marca: Antony Morato"
"23","Talla","Radio","Talla: XS"
"","","","Talla: S"
"","","","Talla: M"
"","","","Talla: L"
"","","","Talla: XL"
"","","","Talla: XXL"
"","","","Talla: 46"
"","","","Talla: 48"
"","","","Talla: 50"
"","","","Talla: 52"
"","","","Talla: 54"
"","","","Talla: 56"
"","","","Talla: 58"
"","","","Talla: 60"
"","","","Talla: 62"
"","","","Talla: 64"
"","","","Talla: 66"
"","","","Talla: 68"
"","","","Talla: 70"
"","","","Talla: 14.5"
"","","","Talla: 15"
"","","","Talla: 15.5"
"","","","Talla: 16"
"","","","Talla: 16.5"
"","","","Talla: 17"
"","","","Talla: 17.5"
"","","","Talla: 18"
"","","","Talla: 18.5"
"","","","Talla: 19"
"","","","Talla: 19.5"
"","","","Talla: 20"
"","","","Talla: 5.5"
"","","","Talla: 6"
"","","","Talla: 6.5"
"","","","Talla: 7"
"","","","Talla: 7.5"
"","","","Talla: 8"
"","","","Talla: 8.5"
"","","","Talla: 9"
"","","","Talla: 9.5"
"","","","Talla: 10"
"","","","Talla: 28"
"","","","Talla: 30"
"","","","Talla: 32"
"","","","Talla: 34"
"","","","Talla: 36"
"","","","Talla: 38"
"","","","Talla: 40"
"","","","Talla: 42"
"","","","Talla: 44"
"","","","Talla: 31"
"","","","Talla: 33"
"","","","Talla: 29"
"","","","Talla: 14"
"","","","Talla: 12"
"","","","Talla: 16"
"","","","Talla: 18"
"24","Manga de Camisa","Radio","Manga de Camisa: S1 - 32/33"
"","","","Manga de Camisa: S2 - 34/35"
