Template External ID,Template Name,Source Variant External ID,Variant Attributes Key,Internal Reference,Barcode,Sales Price,Cost,Weight,Original Product Values
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_60,Color=Azul|Marca=Bruno Cassini|Talla=60,23E4246-15-PAT/60,23E424615202460PT,173.83,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_46,Color=Azul|Marca=Bruno Cassini|Talla=46,23E4246-15-PAT/46,23E424615202446PT,173.83,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_48,Color=Azul|Marca=Bruno Cassini|Talla=48,23E4246-15-PAT/48,23E424615202448PT,173.83,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_50,Color=Azul|Marca=Bruno Cassini|Talla=50,23E4246-15-PAT/50,23E424615202450PT,173.83,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_52,Color=Azul|Marca=Bruno Cassini|Talla=52,23E4246-15-PAT/52,23E424615202452PT,173.83,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_54,Color=Azul|Marca=Bruno Cassini|Talla=54,23E4246-15-PAT/54,23E424615202454PT,173.83,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_56,Color=Azul|Marca=Bruno Cassini|Talla=56,23E4246-15-PAT/56,23E424615202456PT,173.83,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_15_pat,Leva 23E4246-15-PAT,adams_23e4246_15_pat_58,Color=Azul|Marca=Bruno Cassini|Talla=58,23E4246-15-PAT/58,23E424615202458PT,173.83,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_58,Marca=Bruno Cassini|Talla=58,23E4246-13-PAT/58,23E424613202558PT,173.83,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_56,Marca=Bruno Cassini|Talla=56,23E4246-13-PAT/56,23E424613202556PT,173.83,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_60,Marca=Bruno Cassini|Talla=60,23E4246-13-PAT/60,23E424613202560PT,173.83,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_52,Marca=Bruno Cassini|Talla=52,23E4246-13-PAT/52,23E424613202552PT,173.83,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_54,Marca=Bruno Cassini|Talla=54,23E4246-13-PAT/54,23E424613202554PT,173.83,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_48,Marca=Bruno Cassini|Talla=48,23E4246-13-PAT/48,23E424613202548PT,173.83,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_13_pat,Leva 23E4246-13-PAT,adams_23e4246_13_pat_50,Marca=Bruno Cassini|Talla=50,23E4246-13-PAT/50,23E424613202550PT,173.83,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_48,Color=Azul|Marca=Bruno Cassini|Talla=48,GEO1982-1/48,G19820120251248,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_50,Color=Azul|Marca=Bruno Cassini|Talla=50,GEO1982-1/50,G19820120251250,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_52,Color=Azul|Marca=Bruno Cassini|Talla=52,GEO1982-1/52,G19820120251252,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_56,Color=Azul|Marca=Bruno Cassini|Talla=56,GEO1982-1/56,G19820120251256,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_46,Color=Azul|Marca=Bruno Cassini|Talla=46,GEO1982-1/46,G19820120251246,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_54,Color=Azul|Marca=Bruno Cassini|Talla=54,GEO1982-1/54,G19820120251254,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_60,Color=Azul|Marca=Bruno Cassini|Talla=60,GEO1982-1/60,G19820120251260,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_geo1982_1,Leva GEO1982-1,adams_geo1982_1_58,Color=Azul|Marca=Bruno Cassini|Talla=58,GEO1982-1/58,G19820120251258,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Azul"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_46,Marca=Bruno Cassini|Talla=46,24B11398-157/46,24B113981572546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_48,Marca=Bruno Cassini|Talla=48,24B11398-157/48,24B113981572548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_50,Marca=Bruno Cassini|Talla=50,24B11398-157/50,24B113981572550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_60,Marca=Bruno Cassini|Talla=60,24B11398-157/60,24B113981572560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_58,Marca=Bruno Cassini|Talla=58,24B11398-157/58,24B113981572558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_56,Marca=Bruno Cassini|Talla=56,24B11398-157/56,24B113981572556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_54,Marca=Bruno Cassini|Talla=54,24B11398-157/54,24B113981572554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_24b11398_157,Leva 24B11398-157,adams_24b11398_157_52,Marca=Bruno Cassini|Talla=52,24B11398-157/52,24B113981572552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_50,Marca=Bruno Cassini|Talla=50,HD19152-4/50,HD1915204202550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_52,Marca=Bruno Cassini|Talla=52,HD19152-4/52,HD1915204202552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_54,Marca=Bruno Cassini|Talla=54,HD19152-4/54,HD1915204202554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_48,Marca=Bruno Cassini|Talla=48,HD19152-4/48,HD1915204202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_60,Marca=Bruno Cassini|Talla=60,HD19152-4/60,HD1915204202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_58,Marca=Bruno Cassini|Talla=58,HD19152-4/58,HD1915204202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_46,Marca=Bruno Cassini|Talla=46,HD19152-4/46,HD1915204202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_56,Marca=Bruno Cassini|Talla=56,HD19152-4/56,HD1915204202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
