Attribute,Value,Product Count,Example Product,Example Internal Reference
Color,Azul,8,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Marca,Bruno Cassini,8,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,46,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,48,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,50,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,52,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,54,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,56,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,58,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Talla,60,1,Leva 23E4246-15-PAT,23E4246-15-PAT/60
Marca,Bruno Cassini,7,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,48,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,50,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,52,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,54,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,56,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,58,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Talla,60,1,Leva 23E4246-13-PAT,23E4246-13-PAT/58
Color,Azul,8,Leva GEO1982-1,GEO1982-1/48
Marca,Bruno Cassini,8,Leva GEO1982-1,GEO1982-1/48
Talla,46,1,Leva GEO1982-1,GEO1982-1/48
Talla,48,1,Leva GEO1982-1,GEO1982-1/48
Talla,50,1,Leva GEO1982-1,GEO1982-1/48
Talla,52,1,Leva GEO1982-1,GEO1982-1/48
Talla,54,1,Leva GEO1982-1,GEO1982-1/48
Talla,56,1,Leva GEO1982-1,GEO1982-1/48
Talla,58,1,Leva GEO1982-1,GEO1982-1/48
Talla,60,1,Leva GEO1982-1,GEO1982-1/48
Marca,Bruno Cassini,8,Leva 24B11398-157,24B11398-157/46
Talla,46,1,Leva 24B11398-157,24B11398-157/46
Talla,48,1,Leva 24B11398-157,24B11398-157/46
Talla,50,1,Leva 24B11398-157,24B11398-157/46
Talla,52,1,Leva 24B11398-157,24B11398-157/46
Talla,54,1,Leva 24B11398-157,24B11398-157/46
Talla,56,1,Leva 24B11398-157,24B11398-157/46
Talla,58,1,Leva 24B11398-157,24B11398-157/46
Talla,60,1,Leva 24B11398-157,24B11398-157/46
Marca,Bruno Cassini,8,Leva HD19152-4,HD19152-4/50
Talla,46,1,Leva HD19152-4,HD19152-4/50
Talla,48,1,Leva HD19152-4,HD19152-4/50
Talla,50,1,Leva HD19152-4,HD19152-4/50
Talla,52,1,Leva HD19152-4,HD19152-4/50
Talla,54,1,Leva HD19152-4,HD19152-4/50
Talla,56,1,Leva HD19152-4,HD19152-4/50
Talla,58,1,Leva HD19152-4,HD19152-4/50
Talla,60,1,Leva HD19152-4,HD19152-4/50
Color,Gris,8,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Marca,Bruno Cassini,8,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,46,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,48,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,50,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,52,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,54,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,56,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,58,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Talla,60,1,Leva 23E4246-16-PAT,23E4246-16-PAT/54
Color,Verde,8,Leva GEO1982-4,GEO1982-4/50
Marca,Bruno Cassini,8,Leva GEO1982-4,GEO1982-4/50
Talla,46,1,Leva GEO1982-4,GEO1982-4/50
Talla,48,1,Leva GEO1982-4,GEO1982-4/50
Talla,50,1,Leva GEO1982-4,GEO1982-4/50
Talla,52,1,Leva GEO1982-4,GEO1982-4/50
Talla,54,1,Leva GEO1982-4,GEO1982-4/50
Talla,56,1,Leva GEO1982-4,GEO1982-4/50
Talla,58,1,Leva GEO1982-4,GEO1982-4/50
Talla,60,1,Leva GEO1982-4,GEO1982-4/50
Color,Gris,8,Leva 23E4246-16,23E4246-16/52
Marca,Bruno Cassini,8,Leva 23E4246-16,23E4246-16/52
Talla,46,1,Leva 23E4246-16,23E4246-16/52
Talla,48,1,Leva 23E4246-16,23E4246-16/52
Talla,50,1,Leva 23E4246-16,23E4246-16/52
Talla,52,1,Leva 23E4246-16,23E4246-16/52
Talla,54,1,Leva 23E4246-16,23E4246-16/52
Talla,56,1,Leva 23E4246-16,23E4246-16/52
Talla,58,1,Leva 23E4246-16,23E4246-16/52
Talla,60,1,Leva 23E4246-16,23E4246-16/52
Marca,Bruno Cassini,8,Leva HD19152-23,HD19152-23/60
Talla,46,1,Leva HD19152-23,HD19152-23/60
Talla,48,1,Leva HD19152-23,HD19152-23/60
Talla,50,1,Leva HD19152-23,HD19152-23/60
Talla,52,1,Leva HD19152-23,HD19152-23/60
Talla,54,1,Leva HD19152-23,HD19152-23/60
Talla,56,1,Leva HD19152-23,HD19152-23/60
Talla,58,1,Leva HD19152-23,HD19152-23/60
Talla,60,1,Leva HD19152-23,HD19152-23/60
Color,Verde,8,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Marca,Bruno Cassini,8,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,46,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,48,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,50,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,52,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,54,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,56,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,58,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Talla,60,1,Leva 23E4246-4-PAT,23E4246-4-PAT/60
Color,Verde,8,Leva 23E4246-4,23E4246-4/46
