Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
CORBATA,CORBATA,#0050/23-7.5,20231204- ZHEJIANG-CORBATAS,H. CORBATA P/CABALLERO CASSINI NAVY/ SQUARED RED,,Unidad,CASSINI CORBATAS 7.5 CM,0.88,0.00,2.00,1.76
SHORT,SHORT,003-ZOLEY-SH/M,18 NOVIEMBRE 2024- KERLY LLERENA,SHORT ZOLEY LINO VERDE,,Unidad,,23.15,0.00,1.00,23.15
SHORT,SHORT,003-ZOLEY-SH/XL,18 NOVIEMBRE 2024- KERLY LLERENA,SHORT ZOLEY LINO VERDE,,Unidad,,23.15,0.00,1.00,23.15
PANTALON / DAMA ,PANTALON / DAMA ,007-ZOLEY-PANT/L,18 NOVIEMBRE 2024- KERLY LLERENA,PANTALON LINO ZOLEY ARENA,,Unidad,,22.25,0.00,1.00,22.25
PANTALON / DAMA ,PANTALON / DAMA ,007-ZOLEY-PANT/M,18 NOVIEMBRE 2024- KERLY LLERENA,PANTALON LINO ZOLEY ARENA,,Unidad,,22.25,0.00,1.00,22.25
TOP / DAMAS,TOP / DAMAS,007-ZOLEY-TOP/L,18 NOVIEMBRE 2024- KERLY LLERENA,TOP LINO ZOLEY ARENA,,Unidad,,22.25,0.00,1.00,22.25
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/46,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,4.00,182.56
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/48,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,8.00,365.12
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/50,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,13.00,593.32
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/52,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,12.00,547.68
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/54,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,5.00,228.20
TERNO / CABALLERO ,TERNO / CABALLERO ,008-14BC-2/56,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO SMOKING CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,45.64,0.00,5.00,228.20
