DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
#0029-K;BERMUDA;M. BERMUDA PANTS P/DAMA..;Unidad;;32,09;11;;;;;;;;;;;;0,00
#0050/23-7;CORBATA;H. CORBATA P/CABALLERO CASSINI NAVY/ SQUARED RED;Unidad;20231204- ZHEJIANG-CORBATAS;21,65;1,63;CASSINI CORBATAS 7 CM;;;;;;;;;;;0,00
#0050/23-7.5;CORBATA;H. CORBATA P/CABALLERO CASSINI NAVY/ SQUARED RED;Unidad;20231204- ZHEJIANG-CORBATAS;21,65;0,88;CASSINI CORBATAS 7.5 CM;;2,00;;;;;;;;;2,00
001/FA450001;CAMISA;CAMISA BASICA BLANCA/NEGRA/AZUL M/C;Unidad;;41,65;26;ANTHONY MORATO CAMISAS;;;;;;;;;;;0,00
0019;VESTIDOS DE FIESTA;FAISCA VESTIDO LARGO;Unidad;;45;45;;;;;;;;;;;;0,00
002-T29;JEANS/CABALLEROS ;JEANS DOLCE GABBANA;Unidad;;85;2;;;;;;;;;;;;0,00
003-ZOLEY-BL/L;BLUSA;BLUSA ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;23,15;;;;;;;;;;;;0,00
003-ZOLEY-BL/M;BLUSA;BLUSA ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;23,15;;;;;;;;;;;;0,00
003-ZOLEY-BL/XL;BLUSA;BLUSA ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;23,15;;;;;;;;;;;;0,00
003-ZOLEY-SH/L;SHORT;SHORT ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;46,87;23,15;;;;;;;;;;;;0,00
003-ZOLEY-SH/M;SHORT;SHORT ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;46,87;23,15;;1,00;;;;;;;;;;1,00
003-ZOLEY-SH/XL;SHORT;SHORT ZOLEY LINO VERDE;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;46,87;23,15;;1,00;;;;;;;;;;1,00
006-ZOLEY-BL/L;TOP / DAMAS;TOP LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;26,2;;;;;;;;;;;;0,00
006-ZOLEY-BL/M;TOP / DAMAS;TOP LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;26,2;;;;;;;;;;;;0,00
006-ZOLEY-BL/XL;TOP / DAMAS;TOP LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;50,35;26,2;;;;;;;;;;;;0,00
006-ZOLEY-PANT/L;PANTALON / DAMA ;PANTALON DE LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;56,43;26,2;;;;;;;;;;;;0,00
006-ZOLEY-PANT/M;PANTALON / DAMA ;PANTALON DE LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;56,43;26,2;;;;;;;;;;;;0,00
006-ZOLEY-PANT/XL;PANTALON / DAMA ;PANTALON DE LINO ZOLEY BLANCA Y AZUL;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;56,43;26,2;;;;;;;;;;;;0,00
007-13BC-2/46;TERNO / CABALLERO ;TERNO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;165,13;49,03;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/58;TERNO / CABALLERO ;TERNO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;165,13;54,83;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/60;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/62;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/64;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/66;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-13BC-2/68;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-51/68;LEVA;LEVA P/CABALLERO BRUNO CASSINI;Unidad;2021-02-DEST;126;18,74;CASSINI LEVAS/CABALLEROS;;;;;;;;;;;0,00
007-51BC-2/46;TERNO / CABALLERO ;TERNO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;165,13;49,03;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-51BC-2/60;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
