SKU,Nombre Odoo,Variant Values
#0050/23-7,Corbata #0050/23,Ancho Corbata: 7 cm
003-ZOLEY-SH/L,SHORT ZOLEY LINO VERDE,Talla: L
007-ZOLEY-TOP/M,TOP LINO ZOLEY ARENA,Talla: M
008-1BC-1/46,Terno 008-1BC-1,Talla: 46
008-1BC-1/48,Terno 008-1BC-1,Talla: 48
008-1BC-1/50,Terno 008-1BC-1,Talla: 50
008-1BC-1/52,Terno 008-1BC-1,Talla: 52
008-1BC-1/54,Terno 008-1BC-1,Talla: 54
008-1BC-1/56,Terno 008-1BC-1,Talla: 56
008-1BC-1/58,Terno 008-1BC-1,Talla: 58
008-1BC-1/60,Terno 008-1BC-1,Talla: 60
008-1BC-1/62,Terno 008-1BC-1,Talla: 62
008-1BC-1/66,Terno 008-1BC-1,Talla: 66
008-1BC-1/68,Terno 008-1BC-1,Talla: 68
008-BLACK-1-BG-1/64,Terno 008-BLACK-1-BG-1,Talla: 64
008-BLACK-2-BC-2/54,Terno 008-BLACK-2-BC-2,Talla: 54
008-BLACK-3-BC-2/10,Terno 008-BLACK-3-BC-2,Talla: 10
008-BLACK-3-BC-2/14,Terno 008-BLACK-3-BC-2,Talla: 14
008-BLACK-3-BC-2/16,Terno 008-BLACK-3-BC-2,Talla: 16
008-BLACK-3-BC-2/18,Terno 008-BLACK-3-BC-2,Talla: 18
008-BLACK-3-BC-2/20,Terno 008-BLACK-3-BC-2,Talla: 20
008-BLACK-3-BC-2/8,Terno 008-BLACK-3-BC-2,Talla: 8
008-BLACK-B-BC-2/60,Terno 008-BLACK-B-BC-2,Talla: 60
008-BLACK-B-BC-2/62,Terno 008-BLACK-B-BC-2,Talla: 62
008-BLACK-B-BC-2/64,Terno 008-BLACK-B-BC-2,Talla: 64
008-BLACK-B-BC-2/66,Terno 008-BLACK-B-BC-2,Talla: 66
008-BLACK-B-BC-2/70,Terno 008-BLACK-B-BC-2,Talla: 70
008-BLACK-BC-2/48,Terno 008-BLACK-BC-2,Talla: 48
008-BLACK-BC-2/50,Terno 008-BLACK-BC-2,Talla: 50
008-BLACK-BC-2/52,Terno 008-BLACK-BC-2,Talla: 52
008-BLACK-BC-2/54,Terno 008-BLACK-BC-2,Talla: 54
008-BLACK-BC-2/56,Terno 008-BLACK-BC-2,Talla: 56
008-BLACK-BC-2/58,Terno 008-BLACK-BC-2,Talla: 58
008-BLACK-BC-2/60,Terno 008-BLACK-BC-2,Talla: 60
008-BLACK-BC-2/62,Terno 008-BLACK-BC-2,Talla: 62
008-BLACK-BC-2/64,Terno 008-BLACK-BC-2,Talla: 64
008-BLACK-BC-2/66,Terno 008-BLACK-BC-2,Talla: 66
008-BLACK-BC-2/68,Terno 008-BLACK-BC-2,Talla: 68
008-BLACK-BC-2/70,Terno 008-BLACK-BC-2,Talla: 70
016-ZOLEY-TOP/M,TOP DAMA ZOLEY FUCSIA Y BLANCO,Talla: M
025-2BC-2/46,Terno 025-2BC-2,Talla: 46
025-2BC-2/48,Terno 025-2BC-2,Talla: 48
025-2BC-2/50,Terno 025-2BC-2,Talla: 50
025-2BC-2/52,Terno 025-2BC-2,Talla: 52
025-2BC-2/54,Terno 025-2BC-2,Talla: 54
025-2BC-2/58,Terno 025-2BC-2,Talla: 58
028-65-33,PANTALON BRUNO CASSINI (HOMBRE) (028_65),Talla: 33
028-65-34,PANTALON BRUNO CASSINI (HOMBRE) (028_65),Talla: 34
028-65-38,PANTALON BRUNO CASSINI (HOMBRE) (028_65),Talla: 38
028-F5-33,PANTALON BRUNO CASSINI (HOMBRE),Talla: 33
028-F5-34,PANTALON BRUNO CASSINI (HOMBRE),Talla: 34
028-F5-38,PANTALON BRUNO CASSINI (HOMBRE),Talla: 38
08-42299,BLUSA 2-8 LIZZIE MC GUIRE,
081920-24EC/15,Terno 081920-24EC,Talla: 15
081920-24EC/15.5,Terno 081920-24EC,Talla: 15.5
081920-24EC/16,Terno 081920-24EC,Talla: 16
081920-24EC/16.5,Terno 081920-24EC,Talla: 16.5
081920-24EC/17,Terno 081920-24EC,Talla: 17
081920-24EC/17.5,Terno 081920-24EC,Talla: 17.5
081920-24EC/18,Terno 081920-24EC,Talla: 18
081920-24EC/18.5,Terno 081920-24EC,Talla: 18.5
081920-24EC/19,Terno 081920-24EC,Talla: 19
081920-24EC/20,Terno 081920-24EC,Talla: 20
081920-44EC/15,Terno 081920-44EC,Talla: 15
081920-44EC/15.5,Terno 081920-44EC,Talla: 15.5
081920-44EC/16.5,Terno 081920-44EC,Talla: 16.5
081920-44EC/17,Terno 081920-44EC,Talla: 17
081920-44EC/17.5,Terno 081920-44EC,Talla: 17.5
081920-44EC/18,Terno 081920-44EC,Talla: 18
081920-44EC/18.5,Terno 081920-44EC,Talla: 18.5
081920-44EC/19,Terno 081920-44EC,Talla: 19
081920-44EC/20,Terno 081920-44EC,Talla: 20
082845-01EC/16.5,Terno 082845-01EC,Talla: 16.5
082845-01EC/17,Terno 082845-01EC,Talla: 17
082845-01EC/18.5,Terno 082845-01EC,Talla: 18.5
082845-01EC/19,Terno 082845-01EC,Talla: 19
10-2952,CONJ/PANT TORERO (6-24M),
10036A-18-216BC-2/46,Terno 10036A-18-216BC-2,Talla: 46
10036A-18-216BC-2/48,Terno 10036A-18-216BC-2,Talla: 48
10036A-18-216BC-2/50,Terno 10036A-18-216BC-2,Talla: 50
10036A-18-216BC-2/52,Terno 10036A-18-216BC-2,Talla: 52
10036A-18-216BC-2/54,Terno 10036A-18-216BC-2,Talla: 54
10036A-18-216BC-2/58,Terno 10036A-18-216BC-2,Talla: 58
10036A-18-217BC-2/46,Terno 10036A-18-217BC-2,Talla: 46
10036A-18-217BC-2/48,Terno 10036A-18-217BC-2,Talla: 48
10036A-18-217BC-2/50,Terno 10036A-18-217BC-2,Talla: 50
10036A-18-217BC-2/52,Terno 10036A-18-217BC-2,Talla: 52
10036A-18-217BC-2/54,Terno 10036A-18-217BC-2,Talla: 54
10036A-18-217BC-2/58,Terno 10036A-18-217BC-2,Talla: 58
10036A-18-498-BC-2/48,Terno 10036A-18-498-BC-2,Talla: 48
10036A-18-498-BC-2/50,Terno 10036A-18-498-BC-2,Talla: 50
10036A-18-498-BC-2/52,Terno 10036A-18-498-BC-2,Talla: 52
10036A-18-498-BC-2/54,Terno 10036A-18-498-BC-2,Talla: 54
10036A-8-495-BC-2/46,Terno 10036A-8-495-BC-2,Talla: 46
10036A-8-495-BC-2/48,Terno 10036A-8-495-BC-2,Talla: 48
10036A-8-495-BC-2/50,Terno 10036A-8-495-BC-2,Talla: 50
10036A-8-495-BC-2/52,Terno 10036A-8-495-BC-2,Talla: 52
10036A-8-495-BC-2/54,Terno 10036A-8-495-BC-2,Talla: 54
10036A-8-495-BC-2/58,Terno 10036A-8-495-BC-2,Talla: 58
1012065-AZ/M,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA M,Talla: M
1012065-AZ/S,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA M,Talla: S
1012065-RJ/L,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,Talla: L
1012065-RJ/M,BLUSA M/3/4 P/DAMA BLANCA ROJO TALLA L,Talla: M
10896T/L,BLUSA IDEM DITTO,Talla: L
10896T/S,BLUSA IDEM DITTO,Talla: S
11304-16-S1,Camisa 11304,Talla: 16
11304-16.5-S1,Camisa 11304,Talla: 16.5
11701-15.5-S1,Camisa 11701,Talla: 15.5
11701-16.5-S1,Camisa 11701,Talla: 16.5
11701-17-S1,Camisa 11701,Talla: 17
11701DC-15.5-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),Talla: 15.5
11701DC-16-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),Talla: 16
11701DC-17-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),Talla: 17
12-0051,BLUSAS STRECH NINA KIDS&CO,
12001-15.5-S1,Camisa 12001,Talla: 15.5
12001-17-S1,Camisa 12001,Talla: 17
1611-10/46,Leva 1611-10,Talla: 46
1611-10/48,Leva 1611-10,Talla: 48
1611-10/50,Leva 1611-10,Talla: 50
1611-10/52,Leva 1611-10,Talla: 52
1611-10/54,Leva 1611-10,Talla: 54
1611-10/56,Leva 1611-10,Talla: 56
1611-10/60,Leva 1611-10,Talla: 60
1611-2BC-2/48,Terno 1611-2BC-2,Talla: 48
1611-2BC-2/50,Terno 1611-2BC-2,Talla: 50
1611-2BC-2/52,Terno 1611-2BC-2,Talla: 52
1611-2BC-2/54,Terno 1611-2BC-2,Talla: 54
1611-2BC-2/56,Terno 1611-2BC-2,Talla: 56
1611-2BC-2/58,Terno 1611-2BC-2,Talla: 58
1611-3BC-1/46,Terno 1611-3BC-1,Talla: 46
1611-3BC-1/48,Terno 1611-3BC-1,Talla: 48
