sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
23E4246-15-PAT/60,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,60,,,Bruno Cassini,Azul,23E424615202460PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-13-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,58,,,Bruno Cassini,,23E424613202558PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-15-PAT/46,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,46,,,Bruno Cassini,Azul,23E424615202446PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
GEO1982-1/48,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,48,,,Bruno Cassini,Azul,G19820120251248,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
23E4246-15-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,48,,,Bruno Cassini,Azul,23E424615202448PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-15-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,50,,,Bruno Cassini,Azul,23E424615202450PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-15-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,52,,,Bruno Cassini,Azul,23E424615202452PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
24B11398-157/46,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,46,,,Bruno Cassini,,24B113981572546,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
23E4246-15-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,54,,,Bruno Cassini,Azul,23E424615202454PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-15-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,56,,,Bruno Cassini,Azul,23E424615202456PT,173.83,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-15-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,Leva 23E4246-15-PAT,Ropa / Hombres / Levas,58,,,Bruno Cassini,Azul,23E424615202458PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
HD19152-4/50,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,50,,,Bruno Cassini,,HD1915204202550,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
24B11398-157/48,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,48,,,Bruno Cassini,,24B113981572548,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
24B11398-157/50,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,50,,,Bruno Cassini,,24B113981572550,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
GEO1982-1/50,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,50,,,Bruno Cassini,Azul,G19820120251250,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
GEO1982-1/52,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,52,,,Bruno Cassini,Azul,G19820120251252,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
23E4246-16-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,54,,,Bruno Cassini,Gris,23E424616202554PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-16-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,52,,,Bruno Cassini,Gris,23E424616202552PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-16-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,50,,,Bruno Cassini,Gris,23E424616202550PT,173.83,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
GEO1982-4/50,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,50,,,Bruno Cassini,Verde,G19820420251250,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
23E4246-16/52,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,52,,,Bruno Cassini,Gris,23E424616202552,165.13,0.00,13.00,0.00,0.00,13.00,ok,0.95,blazer
23E4246-16/54,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,54,,,Bruno Cassini,Gris,23E424616202554,165.13,0.00,13.00,0.00,0.00,13.00,ok,0.95,blazer
24B11398-157/60,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,60,,,Bruno Cassini,,24B113981572560,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
24B11398-157/58,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,58,,,Bruno Cassini,,24B113981572558,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
24B11398-157/56,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,56,,,Bruno Cassini,,24B113981572556,165.13,0.00,6.00,0.00,0.00,6.00,ok,0.95,blazer
23E4246-16-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,48,,,Bruno Cassini,Gris,23E424616202548PT,173.83,0.00,11.00,0.00,0.00,11.00,ok,0.95,blazer
23E4246-16-PAT/46,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,46,,,Bruno Cassini,Gris,23E424616202546PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
GEO1982-1/56,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,56,,,Bruno Cassini,Azul,G19820120251256,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-16-PAT/60,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16-PAT,Ropa / Hombres / Levas,60,,,Bruno Cassini,Gris,23E424616202560PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
GEO1982-4/48,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,48,,,Bruno Cassini,Verde,G19820420251248,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
