sku,nombre_contifico,problema,sugerencia,raw_categoria_id,raw_marca_nombre,raw_codigo_barra
23E4246-13-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424613202554PT
23E4246-12-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202556PT
23E4246-12-PAT/54,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202554PT
23E4246-4/50,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424604202550
23E4246-12-PAT/58,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202558PT
23E4246-12-PAT/50,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202550PT
23E4246-4/54,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424604202554
23E4246-12-PAT/52,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202552PT
23E4246-12-PAT/48,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202548PT
23E4246-12-PAT/46,H. LEVA P/CABALLERO BRUNO CASSINI GRANATE,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,CASSINI LEVAS/CABALLEROS,23E424612202546PT
11304-15.5-S2,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,11304202591552
11304-15.5-S1,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,11304202591551
11304-15-S2,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,11304202591502
11304-15-S1,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,11304202591501
11304-14.5-S1,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,11304202591451
