source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
SL-084,,H CORBATA P/CABALLERO NAVY LABRADO PUNTO,Ancho Corbata,84 cm,Value not found in Odoo catalog
SL-083,,H CORBATA P/CABALLERO NAVY LABRADO LINEA,Ancho Corbata,83 cm,Value not found in Odoo catalog
SL-082,,H CORBATA P/CABALLERO AZUL PUNTOS NEGROS,Ancho Corbata,82 cm,Value not found in Odoo catalog
SL-081,,H CORBATA P/CABALLERO AZUL ROMBO,Ancho Corbata,81 cm,Value not found in Odoo catalog
SL-080,,H CORBATA P/CABALLERO AZUL PUNTOS,Ancho Corbata,80 cm,Value not found in Odoo catalog
SL-079,,H CORBATA P/CABALLERO AZUL ZIGZAG DIAG,Ancho Corbata,79 cm,Value not found in Odoo catalog
SL-078,,H CORBATA P/CABALLERO AZUL LINEA DIAG,Ancho Corbata,78 cm,Value not found in Odoo catalog
SL-077,,H CORBATA P/CABALLERO BLACK LINEA-PUNTO BLANCO,Ancho Corbata,77 cm,Value not found in Odoo catalog
SL-076,,H CORBATA P/CABALLEROS BLACK LINEAS DIAG,Ancho Corbata,76 cm,Value not found in Odoo catalog
SL-075,,H CORBATA P/CABALLERO GRIS LABRADO,Ancho Corbata,75 cm,Value not found in Odoo catalog
SL-074,,H CORBATA P/CABALLERO LILA LINEAS FINAS,Ancho Corbata,74 cm,Value not found in Odoo catalog
SL-073,,H CORBATA P/CABALLERO GREEN FOREST LINEAS,Ancho Corbata,73 cm,Value not found in Odoo catalog
SL-072,,H CORBATA P/CABALLERO GREEN LINEA DIAG,Ancho Corbata,72 cm,Value not found in Odoo catalog
SL-071,,H CORBATA P/CABALLERO BEIGE LINEAS FINAS,Ancho Corbata,71 cm,Value not found in Odoo catalog
SL-070,,H CORBATA P/CABALLERO YELLOW LINEA DIAG,Ancho Corbata,70 cm,Value not found in Odoo catalog
SL-069,,H CORBATA P/CABALLERO YELLOW CUADRO PEQ,Ancho Corbata,69 cm,Value not found in Odoo catalog
SL-068,,H CORBATA P/CABALLERO PAL-ROS LINEA DIAG,Ancho Corbata,68 cm,Value not found in Odoo catalog
SL-067,,H CORBATA P/CABALLERO ROJO LINEA DIAG RELIEVE,Ancho Corbata,67 cm,Value not found in Odoo catalog
SL-066,,H CORBATA P/CABALLERO ROJA ZICZAC DIAGONAL,Ancho Corbata,66 cm,Value not found in Odoo catalog
SL-065,,H CORBATA P/CABALLERO ROJO LINEAS BLANCAS,Ancho Corbata,65 cm,Value not found in Odoo catalog
SL-064,,H CORBATA P/CABALLERO VINO LINEA DIAGONAL,Ancho Corbata,64 cm,Value not found in Odoo catalog
SL-063,,H CORBATA P/CBALLERO ROMBO ROJO LINEA NEGRA,Ancho Corbata,63 cm,Value not found in Odoo catalog
SL-062,,H CORBATA P/CABALLERO ROJO LINEAS NEGRAS-BLANCA,Ancho Corbata,62 cm,Value not found in Odoo catalog
SL-061,,H CORBATA P/CABALLERO VINO PUNTOS BLANCOS,Ancho Corbata,61 cm,Value not found in Odoo catalog
SL-060,,H CORBATA P/CABALLERO VINO LINEAS INCLINADAS FINAS,Ancho Corbata,60 cm,Value not found in Odoo catalog
SL-059,,H CORBATA P/CABALLERO VINO LABRADO PIEDRA PEQ,Ancho Corbata,59 cm,Value not found in Odoo catalog
