Internal Reference,name_odoo,qty_available,barcode
#0050/23-7,Corbata #0050/23,0.0,005020230023701
#0050/23-7.5,Corbata #0050/23,0.0,005020230023705
003-ZOLEY-SH/L,SHORT ZOLEY LINO VERDE,0.0,003ZOSH/OL
003-ZOLEY-SH/M,SHORT ZOLEY LINO VERDE,0.0,003ZOSH/OM
003-ZOLEY-SH/XL,SHORT ZOLEY LINO VERDE,0.0,003ZOS/OXL
007-ZOLEY-PANT/L,PANTALON LINO ZOLEY ARENA,0.0,007ZPAN/L
007-ZOLEY-PANT/M,PANTALON LINO ZOLEY ARENA,0.0,007ZPAN/M
007-ZOLEY-TOP/L,TOP LINO ZOLEY ARENA,0.0,007ZOTP/L
007-ZOLEY-TOP/M,TOP LINO ZOLEY ARENA,0.0,007ZOTP/M
008-14BC-2/46,Terno 008-14BC-2,0.0,008B14202594628
008-14BC-2/48,Terno 008-14BC-2,0.0,008B14202594830
008-14BC-2/50,Terno 008-14BC-2,0.0,008B14202595032
008-14BC-2/52,Terno 008-14BC-2,0.0,008B14202595234
008-14BC-2/54,Terno 008-14BC-2,0.0,008B14202595436
008-14BC-2/56,Terno 008-14BC-2,0.0,008B14202595638
008-14BC-2/58,Terno 008-14BC-2,0.0,008B14202595840
008-1BC-1/46,Terno 008-1BC-1,0.0,008-1BC-1/O46
008-1BC-1/48,Terno 008-1BC-1,0.0,008-1BC-1/O48
008-1BC-1/50,Terno 008-1BC-1,0.0,008-1BC-1/O50
008-1BC-1/52,Terno 008-1BC-1,0.0,008-1BC-1/O52
008-1BC-1/54,Terno 008-1BC-1,0.0,008-1BC-1/O54
008-1BC-1/56,Terno 008-1BC-1,0.0,008-1BC-1/O56
008-1BC-1/58,Terno 008-1BC-1,0.0,008-1BC-1/O58
008-1BC-1/60,Terno 008-1BC-1,0.0,008-1BC-1/O60
008-1BC-1/62,Terno 008-1BC-1,0.0,008-1BC-1/O62
008-1BC-1/64,Terno 008-1BC-1,0.0,008-1BC-1/O64
008-1BC-1/66,Terno 008-1BC-1,0.0,008-1BC-1/O66
008-1BC-1/68,Terno 008-1BC-1,0.0,008-1BC-1/O68
008-3BC-1/46,Terno 008-3BC-1,0.0,008B32025094628
008-3BC-1/48,Terno 008-3BC-1,0.0,008B32025094850
008-3BC-1/50,Terno 008-3BC-1,0.0,008B32025095032
008-3BC-1/52,Terno 008-3BC-1,0.0,008B32025095234
008-3BC-1/54,Terno 008-3BC-1,0.0,008B32025095436
008-3BC-1/56,Terno 008-3BC-1,0.0,008B32025095638
008-3BC-1/58,Terno 008-3BC-1,0.0,008B32025095840
008-BLACK-1-BG-1/60,Terno 008-BLACK-1-BG-1,0.0,008B12022066042
008-BLACK-1-BG-1/62,Terno 008-BLACK-1-BG-1,0.0,008B12022066244
008-BLACK-1-BG-1/64,Terno 008-BLACK-1-BG-1,0.0,008B12022066446
008-BLACK-1-BG-1/66,Terno 008-BLACK-1-BG-1,0.0,008B12022066648
008-BLACK-1-BG-1/68,Terno 008-BLACK-1-BG-1,0.0,008B12022066850
008-BLACK-1-BG-1/70,Terno 008-BLACK-1-BG-1,0.0,008B12022067052
008-BLACK-1/46,Terno 008-BLACK-1,0.0,008B12022064628
008-BLACK-1/48,Terno 008-BLACK-1,0.0,008B12022064830
008-BLACK-1/50,Terno 008-BLACK-1,0.0,008B12022065032
008-BLACK-1/52,Terno 008-BLACK-1,0.0,008B12022065234
008-BLACK-1/54,Terno 008-BLACK-1,0.0,008B12022065436
008-BLACK-1/56,Terno 008-BLACK-1,0.0,008B12022065638
008-BLACK-1/58,Terno 008-BLACK-1,0.0,008B12022065840
008-BLACK-2-BC-2/46,Terno 008-BLACK-2-BC-2,0.0,008B22022064628
008-BLACK-2-BC-2/48,Terno 008-BLACK-2-BC-2,0.0,008B22022064830
008-BLACK-2-BC-2/50,Terno 008-BLACK-2-BC-2,0.0,008B22022065032
008-BLACK-2-BC-2/52,Terno 008-BLACK-2-BC-2,0.0,008B22022065234
008-BLACK-2-BC-2/54,Terno 008-BLACK-2-BC-2,0.0,008B22022065436
008-BLACK-2-BC-2/56,Terno 008-BLACK-2-BC-2,0.0,008B22022065638
008-BLACK-2-BC-2/58,Terno 008-BLACK-2-BC-2,0.0,008B22022065840
008-BLACK-3-BC-2/10,Terno 008-BLACK-3-BC-2,0.0,008B320220610
008-BLACK-3-BC-2/12,Terno 008-BLACK-3-BC-2,0.0,008B320220612
008-BLACK-3-BC-2/14,Terno 008-BLACK-3-BC-2,0.0,008B320220614
008-BLACK-3-BC-2/16,Terno 008-BLACK-3-BC-2,0.0,008B320220616
008-BLACK-3-BC-2/18,Terno 008-BLACK-3-BC-2,0.0,008B320220618
008-BLACK-3-BC-2/20,Terno 008-BLACK-3-BC-2,0.0,008B320220620
008-BLACK-3-BC-2/8,Terno 008-BLACK-3-BC-2,0.0,008B320220608
008-BLACK-B-BC-2/60,Terno 008-BLACK-B-BC-2,0.0,008BB2022066042
008-BLACK-B-BC-2/62,Terno 008-BLACK-B-BC-2,0.0,008BB2022066244
008-BLACK-B-BC-2/64,Terno 008-BLACK-B-BC-2,0.0,008BB2022066446
008-BLACK-B-BC-2/66,Terno 008-BLACK-B-BC-2,0.0,008BB2022066648
008-BLACK-B-BC-2/68,Terno 008-BLACK-B-BC-2,0.0,008BB2022066850
008-BLACK-B-BC-2/70,Terno 008-BLACK-B-BC-2,0.0,008BB2022067052
008-BLACK-BC-2/46,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O46
008-BLACK-BC-2/48,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O48
008-BLACK-BC-2/50,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O50
008-BLACK-BC-2/52,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O52
008-BLACK-BC-2/54,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O54
008-BLACK-BC-2/56,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O56
008-BLACK-BC-2/58,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O58
008-BLACK-BC-2/60,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O60
008-BLACK-BC-2/62,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O62
008-BLACK-BC-2/64,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O64
008-BLACK-BC-2/66,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O66
008-BLACK-BC-2/68,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O68
008-BLACK-BC-2/70,Terno 008-BLACK-BC-2,0.0,008-BLACK-BC-2/O70
009-99,BLUSA P/NINA,0.0,009-99
016-ZOLEY-TOP/L,TOP DAMA ZOLEY FUCSIA Y BLANCO,0.0,016ZOTP/OL
016-ZOLEY-TOP/M,TOP DAMA ZOLEY FUCSIA Y BLANCO,0.0,016ZOTP/OM
025-2BC-2/46,Terno 025-2BC-2,0.0,025-2BC-2/O46
025-2BC-2/48,Terno 025-2BC-2,0.0,025-2BC-2/O48
025-2BC-2/50,Terno 025-2BC-2,0.0,025-2BC-2/O50
025-2BC-2/52,Terno 025-2BC-2,0.0,025-2BC-2/O52
025-2BC-2/54,Terno 025-2BC-2,0.0,025-2BC-2/O54
025-2BC-2/56,Terno 025-2BC-2,0.0,025-2BC-2/O56
025-2BC-2/58,Terno 025-2BC-2,0.0,025-2BC-2/O58
025-79086,CONJ. P/BEBE NINA 3PCS,0.0,025-79086
028-65-32,PANTALON BRUNO CASSINI (HOMBRE) (028_65),0.0,028-65-32
028-65-33,PANTALON BRUNO CASSINI (HOMBRE) (028_65),0.0,028-65-33
028-65-34,PANTALON BRUNO CASSINI (HOMBRE) (028_65),0.0,028-65-34
028-65-38,PANTALON BRUNO CASSINI (HOMBRE) (028_65),0.0,028-65-38
028-F5-32,PANTALON BRUNO CASSINI (HOMBRE),0.0,028-F5-32
028-F5-33,PANTALON BRUNO CASSINI (HOMBRE),0.0,028-F5-33
028-F5-34,PANTALON BRUNO CASSINI (HOMBRE),0.0,028-F5-34
028-F5-38,PANTALON BRUNO CASSINI (HOMBRE),0.0,028-F5-38
0437,FAISCA VESTIDO LARGO,0.0,0437
0491,FAISCA VESTIDO LARGO,0.0,0491
0731,FAISCA VESTIDO LARGO,0.0,0731
08-40456,CONJUNTO FALDA 4-12 LIZZIE,0.0,08-40456
08-42299,BLUSA 2-8 LIZZIE MC GUIRE,0.0,08-42299
08-42325,BLUSA 2-8 LIZIE MAC GUIRE,0.0,08-42325
08-42339,BLUSA 2-8 LIZZIE MC GUIRE,0.0,08-42339
08-42342,BLUSA 2-8 LIZZI MC GUIRE,0.0,08-42342
08-42793,CONJUNTO NINA TROLLZ,0.0,08-42793
081920-24EC/14.5,Terno 081920-24EC,0.0,081920-24EC/O14.5
081920-24EC/15,Terno 081920-24EC,0.0,081920-24EC/O15
081920-24EC/15.5,Terno 081920-24EC,0.0,081920-24EC/O15.5
081920-24EC/16,Terno 081920-24EC,0.0,081920-24EC/O16
081920-24EC/16.5,Terno 081920-24EC,0.0,081920-24EC/O16.5
081920-24EC/17,Terno 081920-24EC,0.0,081920-24EC/O17
081920-24EC/17.5,Terno 081920-24EC,0.0,081920-24EC/O17.5
081920-24EC/18,Terno 081920-24EC,0.0,081920-24EC/O18
081920-24EC/18.5,Terno 081920-24EC,0.0,081920-24EC/O18.5
081920-24EC/19,Terno 081920-24EC,0.0,081920-24EC/O19
081920-24EC/20,Terno 081920-24EC,0.0,081920-24EC/O20
081920-44EC/14.5,Terno 081920-44EC,0.0,081920-44EC/O14.5
081920-44EC/15,Terno 081920-44EC,0.0,081920-44EC/O15
081920-44EC/15.5,Terno 081920-44EC,0.0,081920-44EC/O15.5
081920-44EC/16,Terno 081920-44EC,0.0,081920-44EC/O16
081920-44EC/16.5,Terno 081920-44EC,0.0,081920-44EC/O16.5
081920-44EC/17,Terno 081920-44EC,0.0,081920-44EC/O17
081920-44EC/17.5,Terno 081920-44EC,0.0,081920-44EC/O17.5
081920-44EC/18,Terno 081920-44EC,0.0,081920-44EC/O18
081920-44EC/18.5,Terno 081920-44EC,0.0,081920-44EC/O18.5
081920-44EC/19,Terno 081920-44EC,0.0,081920-44EC/O19
081920-44EC/20,Terno 081920-44EC,0.0,081920-44EC/O20
082845-01EC/14.5,Terno 082845-01EC,0.0,082845-01EC/O14.5
082845-01EC/15,Terno 082845-01EC,0.0,082845-01EC/O15
082845-01EC/15.5,Terno 082845-01EC,0.0,082845-01EC/O15.5
082845-01EC/16,Terno 082845-01EC,0.0,082845-01EC/O16
082845-01EC/16.5,Terno 082845-01EC,0.0,082845-01EC/O16.5
082845-01EC/17,Terno 082845-01EC,0.0,082845-01EC/O17
082845-01EC/17.5,Terno 082845-01EC,0.0,082845-01EC/O17.5
082845-01EC/18,Terno 082845-01EC,0.0,082845-01EC/O18
082845-01EC/18.5,Terno 082845-01EC,0.0,082845-01EC/O18.5
082845-01EC/19,Terno 082845-01EC,0.0,082845-01EC/O19
082845-01EC/20,Terno 082845-01EC,0.0,082845-01EC/O20
10-22965,PIJAMA PARA NINA,0.0,10-22965
10-2952,CONJ/PANT TORERO (6-24M),0.0,10-2952
10-2996,SET TOP Y PANTALON (6-24M),0.0,10-2996
10-3000,SET/TOP Y PANTALON (6-24M),0.0,10-3000
