"id","is_favorite","default_code","barcode","name","product_template_variant_value_ids","lst_price","standard_price","qty_available"
"__export__.product_product_89029_ae5dc509","","#0050/23-7","005020230023701","Corbata #0050/23","Ancho Corbata: 7 cm","21.65","0.0","0.0"
"__export__.product_product_89030_19465580","","#0050/23-7.5","005020230023705","Corbata #0050/23","Ancho Corbata: 7.5 cm","21.65","0.0","0.0"
"__export__.product_product_87910_65551293","","003-ZOLEY-SH/L","003ZOSH/OL","SHORT ZOLEY LINO VERDE","Talla: L","46.87","0.0","0.0"
"__export__.product_product_87909_dae4e328","","003-ZOLEY-SH/M","003ZOSH/OM","SHORT ZOLEY LINO VERDE","Talla: M","46.87","0.0","0.0"
"__export__.product_product_87911_09b67d72","","003-ZOLEY-SH/XL","003ZOS/OXL","SHORT ZOLEY LINO VERDE","Talla: XL","46.87","0.0","0.0"
"__export__.product_product_87908_bd7b373d","","007-ZOLEY-PANT/L","007ZPAN/L","PANTALON LINO ZOLEY ARENA","Talla: L","51.22","0.0","0.0"
"__export__.product_product_87907_00518dd9","","007-ZOLEY-PANT/M","007ZPAN/M","PANTALON LINO ZOLEY ARENA","Talla: M","51.22","0.0","0.0"
"__export__.product_product_87906_57d78bb9","","007-ZOLEY-TOP/L","007ZOTP/L","TOP LINO ZOLEY ARENA","Talla: L","43.39","0.0","0.0"
"__export__.product_product_87905_40fb32c9","","007-ZOLEY-TOP/M","007ZOTP/M","TOP LINO ZOLEY ARENA","Talla: M","43.39","0.0","0.0"
"__export__.product_product_86275_61f5645d","","008-14BC-2/46","008B14202594628","Terno 008-14BC-2","Talla: 46","304.26","0.0","0.0"
"__export__.product_product_86276_676f13dd","","008-14BC-2/48","008B14202594830","Terno 008-14BC-2","Talla: 48","304.26","0.0","0.0"
"__export__.product_product_86277_0d147ffa","","008-14BC-2/50","008B14202595032","Terno 008-14BC-2","Talla: 50","304.26","0.0","0.0"
"__export__.product_product_86278_24facc5f","","008-14BC-2/52","008B14202595234","Terno 008-14BC-2","Talla: 52","304.26","0.0","0.0"
"__export__.product_product_86279_0bff11ac","","008-14BC-2/54","008B14202595436","Terno 008-14BC-2","Talla: 54","304.26","0.0","0.0"
"__export__.product_product_86280_085470f6","","008-14BC-2/56","008B14202595638","Terno 008-14BC-2","Talla: 56","304.26","0.0","0.0"
"__export__.product_product_86281_babff54d","","008-14BC-2/58","008B14202595840","Terno 008-14BC-2","Talla: 58","304.26","0.0","0.0"
"__export__.product_product_96435_0844b9b3","","008-1BC-1/46","008-1BC-1/O46","Terno 008-1BC-1","Talla: 46","278.17","0.0","0.0"
"__export__.product_product_96436_5ad2f8ee","","008-1BC-1/48","008-1BC-1/O48","Terno 008-1BC-1","Talla: 48","278.17","0.0","0.0"
"__export__.product_product_96437_3dd2dca1","","008-1BC-1/50","008-1BC-1/O50","Terno 008-1BC-1","Talla: 50","278.17","0.0","0.0"
"__export__.product_product_96438_f36774ef","","008-1BC-1/52","008-1BC-1/O52","Terno 008-1BC-1","Talla: 52","278.17","0.0","0.0"
"__export__.product_product_96439_07b09935","","008-1BC-1/54","008-1BC-1/O54","Terno 008-1BC-1","Talla: 54","278.17","0.0","0.0"
"__export__.product_product_96440_0078de0d","","008-1BC-1/56","008-1BC-1/O56","Terno 008-1BC-1","Talla: 56","278.17","0.0","0.0"
"__export__.product_product_96441_cffbc9ff","","008-1BC-1/58","008-1BC-1/O58","Terno 008-1BC-1","Talla: 58","278.17","0.0","0.0"
"__export__.product_product_96442_93b03f36","","008-1BC-1/60","008-1BC-1/O60","Terno 008-1BC-1","Talla: 60","278.17","0.0","0.0"
"__export__.product_product_96443_095e8aa2","","008-1BC-1/62","008-1BC-1/O62","Terno 008-1BC-1","Talla: 62","278.17","0.0","0.0"
"__export__.product_product_96444_8fc3579c","","008-1BC-1/64","008-1BC-1/O64","Terno 008-1BC-1","Talla: 64","278.17","0.0","0.0"
"__export__.product_product_96445_62305ccc","","008-1BC-1/66","008-1BC-1/O66","Terno 008-1BC-1","Talla: 66","278.17","0.0","0.0"
"__export__.product_product_96446_965b9215","","008-1BC-1/68","008-1BC-1/O68","Terno 008-1BC-1","Talla: 68","278.17","0.0","0.0"
"__export__.product_product_86282_2190dbbb","","008-3BC-1/46","008B32025094628","Terno 008-3BC-1","Talla: 46","304.26","0.0","0.0"
"__export__.product_product_86283_b2437d6f","","008-3BC-1/48","008B32025094850","Terno 008-3BC-1","Talla: 48","304.26","0.0","0.0"
"__export__.product_product_86284_dc366c46","","008-3BC-1/50","008B32025095032","Terno 008-3BC-1","Talla: 50","304.26","0.0","0.0"
"__export__.product_product_86285_d7fe835e","","008-3BC-1/52","008B32025095234","Terno 008-3BC-1","Talla: 52","304.26","0.0","0.0"
"__export__.product_product_86286_0a033bf3","","008-3BC-1/54","008B32025095436","Terno 008-3BC-1","Talla: 54","304.26","0.0","0.0"
"__export__.product_product_86287_0cba30d7","","008-3BC-1/56","008B32025095638","Terno 008-3BC-1","Talla: 56","304.26","0.0","0.0"
"__export__.product_product_86288_33056abf","","008-3BC-1/58","008B32025095840","Terno 008-3BC-1","Talla: 58","304.26","0.0","0.0"
"__export__.product_product_93734_774a8cb0","","008-BLACK-1-BG-1/60","008B12022066042","Terno 008-BLACK-1-BG-1","Talla: 60","278.17","0.0","0.0"
"__export__.product_product_93735_91ace580","","008-BLACK-1-BG-1/62","008B12022066244","Terno 008-BLACK-1-BG-1","Talla: 62","278.17","0.0","0.0"
"__export__.product_product_93736_5c558f93","","008-BLACK-1-BG-1/64","008B12022066446","Terno 008-BLACK-1-BG-1","Talla: 64","278.17","0.0","0.0"
"__export__.product_product_93737_6828fa8f","","008-BLACK-1-BG-1/66","008B12022066648","Terno 008-BLACK-1-BG-1","Talla: 66","278.17","0.0","0.0"
