External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_ve_ela_li,VESTIDO ELA LILA,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,L,always
product_template_set_meg_ylw,SET MEGHAN YELLOW,Goods,Sin Categoria,208.61,0.00,True,True,True,True,Talla,L,always
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,32,always
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ve_katya_pk,VESTIDO KATYA PINK,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Talla,L,always
product_template_ve_katya_az,VESTIDO KATYA AZUL,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Talla,XL,always
product_template_ve_katya_az,VESTIDO KATYA AZUL,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Color,Azul,no_variant
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Talla,46,always
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Color,Azul,no_variant
product_template_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,Ropa / Hombres / Pantalones,65.13,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Talla,36,always
product_template_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Color,Azul,no_variant
product_template_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,38,always
product_template_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_lv_25c29118_13,Leva LV-25C29118-13,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,54,always
product_template_lv_25c29118_13,Leva LV-25C29118-13,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_lv_25c29118_13,Leva LV-25C29118-13,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_5010,Camisa 5010,Goods,Ropa / Hombres / Camisas,56.43,0.00,True,True,True,True,Talla,"15,15.5,16,16.5,17,17.5",always
product_template_5010,Camisa 5010,Goods,Ropa / Hombres / Camisas,56.43,0.00,True,True,True,True,Manga de Camisa,"S1 - 32/33,S2 - 34/35",always
product_template_5010,Camisa 5010,Goods,Ropa / Hombres / Camisas,56.43,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ch_24es296_4,Chaleco CH-24ES296-4,Goods,Sin Categoria,43.39,0.00,True,True,True,True,Talla,50,always
product_template_ch_24es296_4,Chaleco CH-24ES296-4,Goods,Sin Categoria,43.39,0.00,True,True,True,True,Color,Verde,no_variant
product_template_ch_24es296_4,Chaleco CH-24ES296-4,Goods,Sin Categoria,43.39,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_lv_24b11210_100,Leva LV-24B11210-100,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,50,always
product_template_lv_24b11210_100,Leva LV-24B11210-100,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Azul,no_variant
product_template_lv_24b11210_100,Leva LV-24B11210-100,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ve_milenag_grn,VESTIDO MILENA GREEN,Goods,Ropa / Mujeres / Vestidos,52.96,0.00,True,True,True,True,Talla,M,always
product_template_ve_milenag_grn,VESTIDO MILENA GREEN,Goods,Ropa / Mujeres / Vestidos,52.96,0.00,True,True,True,True,Color,Verde,no_variant
product_template_ve_stela_az,VESTIDO STELA AZUL,Goods,Ropa / Mujeres / Vestidos,147.74,0.00,True,True,True,True,Talla,L,always
product_template_ve_stela_az,VESTIDO STELA AZUL,Goods,Ropa / Mujeres / Vestidos,147.74,0.00,True,True,True,True,Color,Azul,no_variant
product_template_ve_ariadna_bge,VESTIDO ARIADNA BEIGE,Goods,Ropa / Mujeres / Vestidos,139.91,0.00,True,True,True,True,Talla,S,always
product_template_mr_10845_1,Terno MR-10845-1,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Negro,no_variant
product_template_mr_10845_1,Terno MR-10845-1,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_lv_24c28061_76,Leva LV-24C28061-76,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,56,always
product_template_lv_24c28061_76,Leva LV-24C28061-76,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Azul,no_variant
product_template_lv_24c28061_76,Leva LV-24C28061-76,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_2070_2,Pantalon PT-2070-2,Goods,Ropa / Hombres / Pantalones,39.04,0.00,True,True,True,True,Talla,28,always
product_template_pt_2070_2,Pantalon PT-2070-2,Goods,Ropa / Hombres / Pantalones,39.04,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_lv_23a29607_32,Leva LV-23A29607-32,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,56,always
product_template_lv_23a29607_32,Leva LV-23A29607-32,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_lv_23a29607_32,Leva LV-23A29607-32,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ve_paulina_mag,VESTIDO PAULINA MAGENTA,Goods,Ropa / Mujeres / Vestidos,159.04,0.00,True,True,True,True,Talla,S,always
product_template_lv_008_black_2,Leva LV-008-BLACK-2,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,46,always
product_template_lv_008_black_2,Leva LV-008-BLACK-2,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Negro,no_variant
product_template_lv_008_black_2,Leva LV-008-BLACK-2,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_lv_23c25168_220,Leva LV-23C25168-220,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,50,always
product_template_lv_23c25168_220,Leva LV-23C25168-220,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ref_clara_ve,M. VESTIDO MOPA VERDE,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,M,always
product_template_ref_clara_ve,M. VESTIDO MOPA VERDE,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Color,Verde,no_variant
product_template_ref_margarita_rj,M. VESTIDO MOPA ESTAMPADO ROJO,Goods,Ropa / Mujeres / Vestidos,166.00,0.00,True,True,True,True,Talla,S,always
product_template_ref_margarita_rj,M. VESTIDO MOPA ESTAMPADO ROJO,Goods,Ropa / Mujeres / Vestidos,166.00,0.00,True,True,True,True,Color,Rojo,no_variant
product_template_ref_elena_az,M. VESTIDO MOPA AZUL (ref_elena_az),Goods,Ropa / Mujeres / Vestidos,139.91,0.00,True,True,True,True,Talla,M,always
product_template_ref_elena_az,M. VESTIDO MOPA AZUL (ref_elena_az),Goods,Ropa / Mujeres / Vestidos,139.91,0.00,True,True,True,True,Color,Azul,no_variant
product_template_ve_passion_esl,Terno VE-PASSION-ESL,Goods,Ropa / Mujeres / Vestidos,344.26,0.00,True,True,True,True,Talla,10,always
product_template_ve_passion_bl_a,Terno VE-PASSION-BL-A,Goods,Ropa / Mujeres / Vestidos,239.91,0.00,True,True,True,True,Talla,10,always
product_template_ve_passion_bl_a,Terno VE-PASSION-BL-A,Goods,Ropa / Mujeres / Vestidos,239.91,0.00,True,True,True,True,Color,Negro,no_variant
product_template_ve_passion_dro,Terno VE-PASSION-DRO,Goods,Ropa / Mujeres / Vestidos,292.09,0.00,True,True,True,True,Talla,8,always
product_template_ve_passion_ol,Terno VE-PASSION-OL,Goods,Ropa / Mujeres / Vestidos,344.26,0.00,True,True,True,True,Talla,8,always
product_template_23e4246_15,Leva 23E4246-15,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,46,always
product_template_23e4246_15,Leva 23E4246-15,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Azul,no_variant
product_template_23e4246_15,Leva 23E4246-15,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_ve_ginb_fuc,VESTIDO GINEBRA FUCSIA,Goods,Ropa / Mujeres / Vestidos,157.32,0.00,True,True,True,True,Talla,L,always
product_template_ve_maia_lnt_grn,VESTIDO LENTEJUELA MAIA GREEN,Goods,Ropa / Mujeres / Vestidos,143.39,0.00,True,True,True,True,Talla,M,always
product_template_ve_maia_lnt_grn,VESTIDO LENTEJUELA MAIA GREEN,Goods,Ropa / Mujeres / Vestidos,143.39,0.00,True,True,True,True,Color,Verde,no_variant
product_template_sd040_2b_ch,Terno SD040-2B-CH,Goods,Ropa / Niños / Ternos,133.84,0.00,True,True,True,True,Talla,8,always
product_template_pt_24c29918_16,Pantalon PT-24C29918-16,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,38,always
product_template_pt_24c29918_16,Pantalon PT-24C29918-16,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_zp_hjvb_gam_gr,Zapato ZP-HJVB-GAM-GR,Goods,Ropa / Hombres / Zapatos,73.83,0.00,True,True,True,True,Talla,42,always
product_template_zp_hjvb_gam_gr,Zapato ZP-HJVB-GAM-GR,Goods,Ropa / Hombres / Zapatos,73.83,0.00,True,True,True,True,Color,Gris,no_variant
product_template_vest_anast_bge,VESTIDO ANASTACIA BEIGE,Goods,Ropa / Mujeres / Vestidos,142.52,0.00,True,True,True,True,Talla,M,always
product_template_zp_gam_ol_s_f_cassini,Zapato ZP-GAM-OL-S/F-CASSINI,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Talla,8,always
product_template_zp_gam_ol_s_f_cassini,Zapato ZP-GAM-OL-S/F-CASSINI,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_vest_rose_bl,VESTIDO MOPA 2023-2 BLACK,Goods,Ropa / Mujeres / Vestidos,117.30,0.00,True,True,True,True,Talla,S,always
product_template_vest_rose_bl,VESTIDO MOPA 2023-2 BLACK,Goods,Ropa / Mujeres / Vestidos,117.30,0.00,True,True,True,True,Color,Negro,no_variant
product_template_lv_23e3705_25,Leva LV-23E3705-25,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,46,always
product_template_lv_23e3705_25,Leva LV-23E3705-25,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_10036a_8_495,Pantalon PT-10036A-8-495,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Talla,38,always
product_template_pt_10036a_8_495,Pantalon PT-10036A-8-495,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Color,Azul,no_variant
product_template_pt_10036a_8_495,Pantalon PT-10036A-8-495,Goods,Ropa / Hombres / Pantalones,56.43,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_3742_1,Pantalon PT-3742-1,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,20,always
product_template_pt_3742_1,Pantalon PT-3742-1,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_312010_4,Pantalon PT-312010-4,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,44,always
product_template_pt_312010_4,Pantalon PT-312010-4,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Color,Negro,no_variant
product_template_pt_312010_4,Pantalon PT-312010-4,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pt_cv_b90_002wi,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002wi),Goods,Ropa / Hombres / Pantalones,8.61,0.00,True,True,True,True,Talla,S,always
product_template_pt_cv_b90_002gu,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002gu),Goods,Ropa / Hombres / Pantalones,8.61,0.00,True,True,True,True,Talla,S,always
product_template_pt_cv_b90_001hgr,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001hgr),Goods,Ropa / Hombres / Pantalones,8.61,0.00,True,True,True,True,Talla,S,always
product_template_cmst_cv_b90_002wi,H. CAMISETA P/CABALLEROS WINE CARVEN,Goods,Ropa / Hombres / Camisetas,8.61,0.00,True,True,True,True,Talla,S,always
product_template_cmst_cv_b90_002wi,H. CAMISETA P/CABALLEROS WINE CARVEN,Goods,Ropa / Hombres / Camisetas,8.61,0.00,True,True,True,True,Color,Vino,no_variant
product_template_cmst_cv_b90_002gu,H. CAMISETA P/CABALLEROS CARVEN,Goods,Ropa / Hombres / Camisetas,8.61,0.00,True,True,True,True,Talla,S,always
product_template_pant_prisila,PANTALON PRISILA,Goods,Ropa / Mujeres / Pantalones,33.83,0.00,True,True,True,True,Talla,S,always
product_template_a158_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Talla,14.5,always
product_template_a158_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Color,Azul,no_variant
product_template_a158_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Manga de Camisa,S1 - 32/33,always
product_template_a158_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_a158_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),Goods,Ropa / Hombres / Camisas,47.34,0.00,True,True,True,True,Talla,17,always
product_template_a158_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),Goods,Ropa / Hombres / Camisas,47.34,0.00,True,True,True,True,Color,Azul,no_variant
product_template_a158_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),Goods,Ropa / Hombres / Camisas,47.34,0.00,True,True,True,True,Manga de Camisa,"S1 - 32/33,S2 - 34/35",always
product_template_a158_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),Goods,Ropa / Hombres / Camisas,47.34,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_a115_1,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a115_1),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Talla,17.5,always
product_template_a115_1,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a115_1),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_a115_1,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a115_1),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Manga de Camisa,S2 - 34/35,always
product_template_a115_1,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a115_1),Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pb,M. BRAZALETES P/DAMA VARIOS MODELOS,Goods,Ropa / Mujeres / Accesorios,16.51,0.00,True,True,True,True,Talla,15,always
product_template_pt_ni_o,Pantalon PT-NIÑO,Goods,Ropa / Niños / Pantalones,57.99,0.00,True,True,True,True,Talla,20,always
product_template_lbpc_a31_254r_dknv,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,Goods,Ropa / Hombres / Camisetas,34.70,0.00,True,True,True,True,Talla,XL,always
product_template_lbpc_a31_254r_dknv,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,Goods,Ropa / Hombres / Camisetas,34.70,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_set_mili_nara_bl,M. SET P/DAMA ARENA MILI NARA,Goods,Ropa / Mujeres,123.39,0.00,True,True,True,True,Talla,M,always
product_template_ve_destello,M. VESTIDO AZUL DESTELLO,Goods,Ropa / Mujeres / Vestidos,135.57,0.00,True,True,True,True,Talla,S,always
product_template_ve_destello,M. VESTIDO AZUL DESTELLO,Goods,Ropa / Mujeres / Vestidos,135.57,0.00,True,True,True,True,Color,Azul,no_variant
product_template_set_lucero_n,M. SET P/DAMA PISTACHIO LUCERO,Goods,Ropa / Mujeres,138.17,0.00,True,True,True,True,Talla,S,always
product_template_cv_u11_037_nv,Terno CV-U11-037-NV,Goods,Ropa / Hombres / Ternos,165.13,0.00,True,True,True,True,Talla,42,always
product_template_cv_u11_037_nv,Terno CV-U11-037-NV,Goods,Ropa / Hombres / Ternos,165.13,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_cv_u11_016_bu,Terno CV-U11-016-BU,Goods,Ropa / Hombres / Ternos,165.13,0.00,True,True,True,True,Talla,36,always
product_template_cv_u11_016_bu,Terno CV-U11-016-BU,Goods,Ropa / Hombres / Ternos,165.13,0.00,True,True,True,True,Color,Azul Marino,no_variant
product_template_ern_sabat_1259_wm,BLUSA DE DAMA P/S BRUNO CASSINI WHITE T.S,Goods,Ropa / Mujeres / Blusas,42.52,0.00,True,True,True,True,Talla,S,always
product_template_ern_sabat_1259_wm,BLUSA DE DAMA P/S BRUNO CASSINI WHITE T.S,Goods,Ropa / Mujeres / Blusas,42.52,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_ern_sabat_1259_wm,BLUSA DE DAMA P/S BRUNO CASSINI WHITE T.S,Goods,Ropa / Mujeres / Blusas,42.52,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_2279dw,VESTIDO CQ BY CQ T.S,Goods,Ropa / Mujeres / Vestidos,160.78,0.00,True,True,True,True,Talla,S,always
product_template_ve_heidy_consig,VESTIDO AZUL REY,Goods,Ropa / Mujeres / Vestidos,117.30,0.00,True,True,True,True,Talla,L,always
product_template_ve_heidy_consig,VESTIDO AZUL REY,Goods,Ropa / Mujeres / Vestidos,117.30,0.00,True,True,True,True,Color,Azul,no_variant
product_template_ve_antonia_consig,VESTIDO ESTAMPADO FUCSIA,Goods,Ropa / Mujeres / Vestidos,124.26,0.00,True,True,True,True,Talla,L,always
