odoo_ext_id,tmpl_id,tmpl_name,variant_values,reason
__export__.product_product_16_be6c1774,__export__.product_template_9_90baf1a5,TEST,"Talla: 14.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_18_c641cf1b,__export__.product_template_9_90baf1a5,TEST,"Talla: 15,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_19_eb949bfb,__export__.product_template_9_90baf1a5,TEST,"Talla: 15,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_20_bbfbd9f1,__export__.product_template_9_90baf1a5,TEST,"Talla: 15.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_21_a1b3d848,__export__.product_template_9_90baf1a5,TEST,"Talla: 15.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_28_25a5ee16,__export__.product_template_9_90baf1a5,TEST,"Talla: 16,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_29_34239ea1,__export__.product_template_9_90baf1a5,TEST,"Talla: 16,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_22_94f7757e,__export__.product_template_9_90baf1a5,TEST,"Talla: 16.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_23_a63f9bc7,__export__.product_template_9_90baf1a5,TEST,"Talla: 16.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_24_e8e448e8,__export__.product_template_9_90baf1a5,TEST,"Talla: 17,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_25_9be24158,__export__.product_template_9_90baf1a5,TEST,"Talla: 17,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_26_92b74909,__export__.product_template_9_90baf1a5,TEST,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_27_81507176,__export__.product_template_9_90baf1a5,TEST,"Talla: 17.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_95552_e2d5d8c9,__import__.product_template_pul19_09,ACCESORIO - 2019-09,,Not present in Phase 2 or simple CSV
__export__.product_product_95555_9b98b81f,__import__.product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),"Ancho Corbata: 6 cm,Talla: 8",Not present in Phase 2 or simple CSV
__export__.product_product_95556_cc4ea888,__import__.product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),"Ancho Corbata: 6 cm,Talla: 9",Not present in Phase 2 or simple CSV
__export__.product_product_95557_e14f5c46,__import__.product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),"Ancho Corbata: 7 cm,Talla: 8",Not present in Phase 2 or simple CSV
__export__.product_product_95558_6a84625e,__import__.product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),"Ancho Corbata: 7 cm,Talla: 9",Not present in Phase 2 or simple CSV
__export__.product_product_95635_d21ab8f3,__import__.product_template_acce_12,BISUTERIA VARIOS MODELOS,,Not present in Phase 2 or simple CSV
__export__.product_product_89605_37630457,__import__.product_template_bl_dafne_na_ca,BLUSA DAFNE P/DAMA NARANJA CAFE,,Not present in Phase 2 or simple CSV
__export__.product_product_88308_737edcde,__import__.product_template_ern_sabat_1259_wm,BLUSA DE DAMA P/S BRUNO CASSINI WHITE T.S,,Not present in Phase 2 or simple CSV
__export__.product_product_96352_ce7f0e37,__import__.product_template_16834,"BOXER CHAMELA AZUL, ROSA",,Not present in Phase 2 or simple CSV
__export__.product_product_96356_eed543d4,__import__.product_template_16904,BOXER CHAMELA ROSA,,Not present in Phase 2 or simple CSV
__export__.product_product_96314_e8cea88c,__import__.product_template_43500_bl,BRASIER ESENCIAL ST-EVEN,,Not present in Phase 2 or simple CSV
__export__.product_product_96313_e9450b96,__import__.product_template_43500_am,BRASIER ESENCIAL ST. EVEN (43500_am),,Not present in Phase 2 or simple CSV
__export__.product_product_96324_dcd5edda,__import__.product_template_41680,BRASIER ROMANTICO ST. EVEN,,Not present in Phase 2 or simple CSV
__export__.product_product_96361_0802af33,__import__.product_template_17911_bl,BRASILERA CHAMELA (BLANCO),,Not present in Phase 2 or simple CSV
__export__.product_product_96318_839f2231,__import__.product_template_43541,BRASILERA ROMANTICA,,Not present in Phase 2 or simple CSV
__export__.product_product_96351_40699e62,__import__.product_template_16380,BRASSIER CHAMELA,,Not present in Phase 2 or simple CSV
__export__.product_product_96380_e3a5a563,__import__.product_template_15290,BRASSIER CHAMELA (15290),,Not present in Phase 2 or simple CSV
__export__.product_product_96357_4dd079f2,__import__.product_template_17910_bl,BRASSIER CHAMELA (BLANCO),,Not present in Phase 2 or simple CSV
__export__.product_product_96358_e5ccf98b,__import__.product_template_17910_ne,BRASSIER CHAMELA (NEGRO),,Not present in Phase 2 or simple CSV
__export__.product_product_96350_5b0dc9b8,__import__.product_template_16360,"BRASSIER CHAMELA BLANCO, MORADO",,Not present in Phase 2 or simple CSV
__export__.product_product_96355_5df04a35,__import__.product_template_16900,BRASSIER CHAMELA ROSA,,Not present in Phase 2 or simple CSV
__export__.product_product_96145_ec2b42ef,__import__.product_template_cv_k02_083,CAMISA M/C CUADROS - FUCHSIA,,Not present in Phase 2 or simple CSV
__export__.product_product_96181_3f50fbdb,__import__.product_template_81216,CAMISAS BRUNO CASSINI,,Not present in Phase 2 or simple CSV
__export__.product_product_95560_a2f7c0c2,__import__.product_template_cart_g_08,CARTERA GRANDE VARIOS MODELOS,,Not present in Phase 2 or simple CSV
__export__.product_product_85778_097fb8fb,__import__.product_template_5010,CONJUNTO BRAZZIER - INT,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85791_53bfca9c,__import__.product_template_11303,Camisa 11303,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85802_2a40dfaf,__import__.product_template_11303,Camisa 11303,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85812_90cfd1d2,__import__.product_template_11304,Camisa 11304,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85823_8eae30fe,__import__.product_template_11304,Camisa 11304,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_86009_e45bb0ff,__import__.product_template_11704,Camisa 11704,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_86020_492e1dca,__import__.product_template_11704,Camisa 11704,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_94476_352889ec,__import__.product_template_11901,Camisa 11901,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94477_17b049c0,__import__.product_template_11901,Camisa 11901,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_86072_894679db,__import__.product_template_1509,Camisa 1509,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_86083_c8abcc38,__import__.product_template_1509,Camisa 1509,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87567_6223f36e,__import__.product_template_16301,Camisa 16301,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87472_870a4b1c,__import__.product_template_16701,Camisa 16701,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87483_3cb28eb0,__import__.product_template_16701,Camisa 16701,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87575_c1fdf9af,__import__.product_template_17601,Camisa 17601,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87577_57f43e5a,__import__.product_template_17601,Camisa 17601,"Talla: 15,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87582_9a822a6d,__import__.product_template_17601,Camisa 17601,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_93486_471ca94b,__import__.product_template_17604,Camisa 17604,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_93497_1df57b69,__import__.product_template_17604,Camisa 17604,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85749_1049eb0c,__import__.product_template_18001,Camisa 18001,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85760_ed7f5bc3,__import__.product_template_18001,Camisa 18001,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_94596_a0498076,__import__.product_template_19203,Camisa 19203,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94597_0c0b7d1a,__import__.product_template_19203,Camisa 19203,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_87257_745b5e9a,__import__.product_template_200,Camisa 200,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87266_5eed8b67,__import__.product_template_200,Camisa 200,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_93500_97843695,__import__.product_template_20002,Camisa 20002,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_93501_eb1fb5d6,__import__.product_template_20002,Camisa 20002,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_87447_7fffcda0,__import__.product_template_30201,Camisa 30201,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85984_1aa03742,__import__.product_template_5011,Camisa 5011,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_85987_10af985d,__import__.product_template_5011,Camisa 5011,"Talla: 16,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85993_f08a4701,__import__.product_template_5011,Camisa 5011,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87285_ccef36b7,__import__.product_template_5207,Camisa 5207,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87337_f2fafd02,__import__.product_template_5252,Camisa 5252,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
