stock_internal_reference,location,inventory_quantity,reason
SL-RED,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
SL-WINE,BPU/Existencias,25.00,Stock SKU not found after Phase 2 mapping
SL-GRAY,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
SL-DGREY,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
SL-GREEN,BPU/Existencias,12.00,Stock SKU not found after Phase 2 mapping
SL-SKBL,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
SL-BLUE,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
SL-NAVY,BPU/Existencias,23.00,Stock SKU not found after Phase 2 mapping
SL-BLACK,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
CAR-CH-NVY,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
CAR-GUESS-BL,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
CAR-GUESS-RD,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
GEM-HUBLOT-BLK,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
CAR-GUESS-RO-BLK,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PAN-SL-029,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
PAN-SL-033,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
PAN-SL-034,BPU/Existencias,12.00,Stock SKU not found after Phase 2 mapping
CAR-CH-BLK,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PAN-AZL,BPU/Existencias,7.00,Stock SKU not found after Phase 2 mapping
CORREA-VN-LISA,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
142980,BPU/Existencias,20.00,Stock SKU not found after Phase 2 mapping
142108,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
GEM-ROLEX-BLK,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
GEM-MONT BLANC-BLK,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
LV-SMOKING,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
LBPC-B03-101X-WH/1XL,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
