id,Internal Reference,Barcode
__export__.product_product_88311_42e21c87,2279DW,2279DW
__export__.product_product_95040_d3e0f502,IRE90495,IRE90495
__export__.product_product_95307_39caa463,AT4266,AT4266
__export__.product_product_95359_4e17d210,43SW7026,43SW7026
__export__.product_product_95361_ee5ece2c,BMO6483,BMO6483
__export__.product_product_95362_d91355de,OMO0944,OMO0944
__export__.product_product_95363_c70d4273,BPM7775,BPM7775
__export__.product_product_95374_1d42983e,BPM7120,BPM7120
__export__.product_product_95375_d7ad4ad5,BMO7217,BMO7217
__export__.product_product_95376_dbe147ef,BMO7209,BMO7209
__export__.product_product_95377_0cc4cd14,BMO6604,BMO6604
__export__.product_product_95381_54006c14,BMO6226,BMO6226
__export__.product_product_95382_f015aced,BMO5961,BMO5961
__export__.product_product_95383_973cac07,BM13708,BM13708
__export__.product_product_95386_048eb139,BM11131,BM11131
__export__.product_product_95389_42189277,BM10814,BM10814
