External ID,Internal Reference,match_failure_reason
product_template_sl_line,SL-LINE,No matching product.product in Odoo export
product_template_sl_slt,SL-SLT,No matching product.product in Odoo export
product_template_sl_org,SL-ORG,No matching product.product in Odoo export
product_template_sl_pur,SL-PUR,No matching product.product in Odoo export
product_template_sl_par,SL-PAR,No matching product.product in Odoo export
product_template_sl_slm,SL-SLM,No matching product.product in Odoo export
product_template_sl_mok,SL-MOK,No matching product.product in Odoo export
product_template_sl_gld,SL-GLD,No matching product.product in Odoo export
product_template_sl_camel,SL-CAMEL,No matching product.product in Odoo export
product_template_sl_bge,SL-BGE,No matching product.product in Odoo export
product_template_car_tous_cab,CAR-TOUS-CAB,No matching product.product in Odoo export
product_template_car_coach_gam,CAR-COACH-GAM,No matching product.product in Odoo export
product_template_car_coach_ca_lab,CAR-COACH-CA-LAB,No matching product.product in Odoo export
product_template_car_coach_ne_lab,CAR-COACH-NE-LAB,No matching product.product in Odoo export
product_template_car_coach_cr,CAR-COACH-CR,No matching product.product in Odoo export
product_template_car_coach_cha,CAR-COACH-CHA,No matching product.product in Odoo export
product_template_car_chanel_bge,CAR-CHANEL-BGE,No matching product.product in Odoo export
product_template_14038,14038,No matching product.product in Odoo export
product_template_14040,14040,No matching product.product in Odoo export
product_template_68009,68009,No matching product.product in Odoo export
product_template_rw01n,RW01N,No matching product.product in Odoo export
product_template_36231,36231,No matching product.product in Odoo export
product_template_gem_givenchy_gold,GEM-GIVENCHY-GOLD,No matching product.product in Odoo export
product_template_gem_hublot_pl,GEM-HUBLOT-PL,No matching product.product in Odoo export
product_template_gem_hublot_gld,GEM-HUBLOT-GLD,No matching product.product in Odoo export
product_template_gem_rolex_gold,GEM-ROLEX-GOLD,No matching product.product in Odoo export
product_template_gem_rolex_pl,GEM-ROLEX-PL,No matching product.product in Odoo export
product_template_pan_sky_lila,PAN-SKY LILA,No matching product.product in Odoo export
product_template_sl_084,SL-084,No matching product.product in Odoo export
product_template_sl_083,SL-083,No matching product.product in Odoo export
product_template_sl_082,SL-082,No matching product.product in Odoo export
product_template_sl_081,SL-081,No matching product.product in Odoo export
product_template_sl_080,SL-080,No matching product.product in Odoo export
product_template_sl_079,SL-079,No matching product.product in Odoo export
product_template_sl_078,SL-078,No matching product.product in Odoo export
product_template_sl_077,SL-077,No matching product.product in Odoo export
product_template_sl_076,SL-076,No matching product.product in Odoo export
product_template_sl_075,SL-075,No matching product.product in Odoo export
product_template_sl_074,SL-074,No matching product.product in Odoo export
product_template_sl_073,SL-073,No matching product.product in Odoo export
product_template_sl_072,SL-072,No matching product.product in Odoo export
product_template_sl_071,SL-071,No matching product.product in Odoo export
product_template_sl_070,SL-070,No matching product.product in Odoo export
product_template_sl_069,SL-069,No matching product.product in Odoo export
product_template_sl_068,SL-068,No matching product.product in Odoo export
product_template_sl_067,SL-067,No matching product.product in Odoo export
product_template_sl_066,SL-066,No matching product.product in Odoo export
product_template_sl_065,SL-065,No matching product.product in Odoo export
product_template_sl_064,SL-064,No matching product.product in Odoo export
product_template_sl_063,SL-063,No matching product.product in Odoo export
product_template_sl_062,SL-062,No matching product.product in Odoo export
product_template_sl_061,SL-061,No matching product.product in Odoo export
product_template_sl_060,SL-060,No matching product.product in Odoo export
product_template_sl_059,SL-059,No matching product.product in Odoo export
product_template_sl_058,SL-058,No matching product.product in Odoo export
product_template_sl_057,SL-057,No matching product.product in Odoo export
product_template_sl_056,SL-056,No matching product.product in Odoo export
product_template_sl_055,SL-055,No matching product.product in Odoo export
product_template_sl_054,SL-054,No matching product.product in Odoo export
product_template_sl_053,SL-053,No matching product.product in Odoo export
product_template_sl_052,SL-052,No matching product.product in Odoo export
product_template_sl_051,SL-051,No matching product.product in Odoo export
product_template_sl_015,SL-015,No matching product.product in Odoo export
product_template_sl_029,SL-029,No matching product.product in Odoo export
product_template_sl_014,SL-014,No matching product.product in Odoo export
product_template_sl_027,SL-027,No matching product.product in Odoo export
product_template_sl_035,SL-035,No matching product.product in Odoo export
product_template_sl_026,SL-026,No matching product.product in Odoo export
product_template_sl_046,SL-046,No matching product.product in Odoo export
product_template_sl_045,SL-045,No matching product.product in Odoo export
product_template_sl_048,SL-048,No matching product.product in Odoo export
product_template_sl_049,SL-049,No matching product.product in Odoo export
product_template_sl_050,SL-050,No matching product.product in Odoo export
product_template_sl_038,SL-038,No matching product.product in Odoo export
product_template_sl_039,SL-039,No matching product.product in Odoo export
product_template_sl_042,SL-042,No matching product.product in Odoo export
product_template_sl_036,SL-036,No matching product.product in Odoo export
product_template_sl_037,SL-037,No matching product.product in Odoo export
product_template_sl_034,SL-034,No matching product.product in Odoo export
product_template_sl_041,SL-041,No matching product.product in Odoo export
product_template_sl_040,SL-040,No matching product.product in Odoo export
product_template_sl_047,SL-047,No matching product.product in Odoo export
product_template_sl_044,SL-044,No matching product.product in Odoo export
product_template_sl_043,SL-043,No matching product.product in Odoo export
product_template_sl_011,SL-011,No matching product.product in Odoo export
product_template_sl_028,SL-028,No matching product.product in Odoo export
product_template_sl_032,SL-032,No matching product.product in Odoo export
product_template_sl_033,SL-033,No matching product.product in Odoo export
product_template_sl_019,SL-019,No matching product.product in Odoo export
product_template_sl_022,SL-022,No matching product.product in Odoo export
product_template_sl_031,SL-031,No matching product.product in Odoo export
product_template_sl_013,SL-013,No matching product.product in Odoo export
product_template_sl_012,SL-012,No matching product.product in Odoo export
product_template_sl_016,SL-016,No matching product.product in Odoo export
product_template_sl_025,SL-025,No matching product.product in Odoo export
product_template_sl_030,SL-030,No matching product.product in Odoo export
product_template_sl_020,SL-020,No matching product.product in Odoo export
product_template_sl_021,SL-021,No matching product.product in Odoo export
product_template_sl_017,SL-017,No matching product.product in Odoo export
product_template_sl_018,SL-018,No matching product.product in Odoo export
product_template_sl_023,SL-023,No matching product.product in Odoo export
product_template_sl_024,SL-024,No matching product.product in Odoo export
product_template_sl_008,SL-008,No matching product.product in Odoo export
product_template_sl_009,SL-009,No matching product.product in Odoo export
product_template_sl_010,SL-010,No matching product.product in Odoo export
product_template_sl_001,SL-001,No matching product.product in Odoo export
product_template_sl_005,SL-005,No matching product.product in Odoo export
product_template_sl_002,SL-002,No matching product.product in Odoo export
product_template_sl_003,SL-003,No matching product.product in Odoo export
product_template_sl_004,SL-004,No matching product.product in Odoo export
product_template_pin_a01_arn,PIN-A01-ARN,No matching product.product in Odoo export
product_template_pin_a01_bge,PIN-A01-BGE,No matching product.product in Odoo export
product_template_5010,5010,No matching product.product in Odoo export
product_template_finebluerefl_500w,FINEBLUEREFL-500W,No matching product.product in Odoo export
product_template_car_lana_bge,CAR-LANA-BGE,No matching product.product in Odoo export
product_template_jgo_ar_cad,JGO-AR-CAD,No matching product.product in Odoo export
product_template_gaf_68009_ysl,GAF-68009-YSL,No matching product.product in Odoo export
product_template_gaf_9861_cha,GAF-9861-CHA,No matching product.product in Odoo export
product_template_gaf_6047_cha,GAF-6047-CHA,No matching product.product in Odoo export
product_template_gaf_m9146_vers,GAF-M9146-VERS,No matching product.product in Odoo export
product_template_bat_12v_250ah,BAT-12v-250AH,No matching product.product in Odoo export
product_template_c_cuero_barona_cof,C/CUERO-BARONA-COF,No matching product.product in Odoo export
product_template_correa_ca_lisa,CORREA-CA-LISA,No matching product.product in Odoo export
product_template_correa_ta_lisa,CORREA-TA-LISA,No matching product.product in Odoo export
product_template_pin_a01_pur,PIN-A01-PUR,No matching product.product in Odoo export
product_template_cebat_7568,CEBAT-7568,No matching product.product in Odoo export
