id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_85444_6341c77a,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/60,23E424615202460PT,Leva 23E4246-15-PAT,Talla: 60,173.83,0.00
__export__.product_product_85450_0c594411,tmpl_id,__import__.product_template_23e4246_13_pat,23E4246-13-PAT/58,23E424613202558PT,Leva 23E4246-13-PAT,Talla: 58,173.83,0.00
__export__.product_product_85437_79f13d86,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/46,23E424615202446PT,Leva 23E4246-15-PAT,Talla: 46,173.83,0.00
__export__.product_product_85453_dae73dcc,tmpl_id,__import__.product_template_geo1982_1,GEO1982-1/48,G19820120251248,Leva GEO1982-1,Talla: 48,165.13,0.00
__export__.product_product_85438_f6a0e124,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/48,23E424615202448PT,Leva 23E4246-15-PAT,Talla: 48,173.83,0.00
__export__.product_product_85439_7f9db1aa,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/50,23E424615202450PT,Leva 23E4246-15-PAT,Talla: 50,173.83,0.00
__export__.product_product_85440_1eddddf4,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/52,23E424615202452PT,Leva 23E4246-15-PAT,Talla: 52,173.83,0.00
__export__.product_product_85460_7a9d0036,tmpl_id,__import__.product_template_24b11398_157,24B11398-157/46,24B113981572546,Leva 24B11398-157,Talla: 46,165.13,0.00
__export__.product_product_85441_9704d4f2,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/54,23E424615202454PT,Leva 23E4246-15-PAT,Talla: 54,173.83,0.00
__export__.product_product_85442_dc039725,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/56,23E424615202456PT,Leva 23E4246-15-PAT,Talla: 56,173.83,0.00
__export__.product_product_85443_93ac45b1,tmpl_id,__import__.product_template_23e4246_15_pat,23E4246-15-PAT/58,23E424615202458PT,Leva 23E4246-15-PAT,Talla: 58,173.83,0.00
__export__.product_product_85470_3de3b617,tmpl_id,__import__.product_template_hd19152_4,HD19152-4/50,HD1915204202550,Leva HD19152-4,Talla: 50,165.13,0.00
__export__.product_product_85461_5a990c03,tmpl_id,__import__.product_template_24b11398_157,24B11398-157/48,24B113981572548,Leva 24B11398-157,Talla: 48,165.13,0.00
__export__.product_product_85462_2c9849b6,tmpl_id,__import__.product_template_24b11398_157,24B11398-157/50,24B113981572550,Leva 24B11398-157,Talla: 50,165.13,0.00
__export__.product_product_85454_c7b835fb,tmpl_id,__import__.product_template_geo1982_1,GEO1982-1/50,G19820120251250,Leva GEO1982-1,Talla: 50,165.13,0.00
__export__.product_product_85455_ff427e72,tmpl_id,__import__.product_template_geo1982_1,GEO1982-1/52,G19820120251252,Leva GEO1982-1,Talla: 52,165.13,0.00
__export__.product_product_85480_fc6ab9de,tmpl_id,__import__.product_template_23e4246_16_pat,23E4246-16-PAT/54,23E424616202554PT,Leva 23E4246-16-PAT,Talla: 54,173.83,0.00
