id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85444_6341c77a,23E4246-15-PAT/60,23E424615202460PT,173.83,0.00
__export__.product_product_85450_0c594411,23E4246-13-PAT/58,23E424613202558PT,173.83,0.00
__export__.product_product_85437_79f13d86,23E4246-15-PAT/46,23E424615202446PT,173.83,0.00
__export__.product_product_85453_dae73dcc,GEO1982-1/48,G19820120251248,165.13,0.00
__export__.product_product_85438_f6a0e124,23E4246-15-PAT/48,23E424615202448PT,173.83,0.00
__export__.product_product_85439_7f9db1aa,23E4246-15-PAT/50,23E424615202450PT,173.83,0.00
__export__.product_product_85440_1eddddf4,23E4246-15-PAT/52,23E424615202452PT,173.83,0.00
__export__.product_product_85460_7a9d0036,24B11398-157/46,24B113981572546,165.13,0.00
__export__.product_product_85441_9704d4f2,23E4246-15-PAT/54,23E424615202454PT,173.83,0.00
__export__.product_product_85442_dc039725,23E4246-15-PAT/56,23E424615202456PT,173.83,0.00
__export__.product_product_85443_93ac45b1,23E4246-15-PAT/58,23E424615202458PT,173.83,0.00
__export__.product_product_85470_3de3b617,HD19152-4/50,HD1915204202550,165.13,0.00
__export__.product_product_85461_5a990c03,24B11398-157/48,24B113981572548,165.13,0.00
__export__.product_product_85462_2c9849b6,24B11398-157/50,24B113981572550,165.13,0.00
__export__.product_product_85454_c7b835fb,GEO1982-1/50,G19820120251250,165.13,0.00
__export__.product_product_85455_ff427e72,GEO1982-1/52,G19820120251252,165.13,0.00
__export__.product_product_85480_fc6ab9de,23E4246-16-PAT/54,23E424616202554PT,173.83,0.00
__export__.product_product_85479_86ec1d82,23E4246-16-PAT/52,23E424616202552PT,173.83,0.00
__export__.product_product_85478_52ff795c,23E4246-16-PAT/50,23E424616202550PT,173.83,0.00
__export__.product_product_85486_c36add79,GEO1982-4/50,G19820420251250,165.13,0.00
__export__.product_product_85495_a1d19045,23E4246-16/52,23E424616202552,165.13,0.00
__export__.product_product_85496_f36589e7,23E4246-16/54,23E424616202554,165.13,0.00
__export__.product_product_85467_7252ace3,24B11398-157/60,24B113981572560,165.13,0.00
__export__.product_product_85466_5f844485,24B11398-157/58,24B113981572558,165.13,0.00
__export__.product_product_85465_73247243,24B11398-157/56,24B113981572556,165.13,0.00
