External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_23e4246_15_pat,Leva 23E4246-15-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_15_pat,Leva 23E4246-15-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_15_pat,Leva 23E4246-15-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Azul,
product_template_23e4246_13_pat,Leva 23E4246-13-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,"48,50,52,54,56,58,60",
product_template_23e4246_13_pat,Leva 23E4246-13-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_geo1982_1,Leva GEO1982-1,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_geo1982_1,Leva GEO1982-1,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_geo1982_1,Leva GEO1982-1,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Azul,
product_template_24b11398_157,Leva 24B11398-157,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_24b11398_157,Leva 24B11398-157,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_hd19152_4,Leva HD19152-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_hd19152_4,Leva HD19152-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_16_pat,Leva 23E4246-16-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_16_pat,Leva 23E4246-16-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_16_pat,Leva 23E4246-16-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Gris,
product_template_geo1982_4,Leva GEO1982-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_geo1982_4,Leva GEO1982-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_geo1982_4,Leva GEO1982-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Verde,
product_template_23e4246_16,Leva 23E4246-16,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_16,Leva 23E4246-16,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_16,Leva 23E4246-16,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Gris,
product_template_hd19152_23,Leva HD19152-23,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_hd19152_23,Leva HD19152-23,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_4_pat,Leva 23E4246-4-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_4_pat,Leva 23E4246-4-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_4_pat,Leva 23E4246-4-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Color,Verde,
product_template_23e4246_4,Leva 23E4246-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_4,Leva 23E4246-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_4,Leva 23E4246-4,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Color,Verde,
product_template_23e4246_12,Leva 23E4246-12,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58,60",
product_template_23e4246_12,Leva 23E4246-12,Goods,Ropa / Hombres / Levas,165.13,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_23e4246_12_pat,Leva 23E4246-12-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Talla,"46,48,50,52,54,56,58",
product_template_23e4246_12_pat,Leva 23E4246-12-PAT,Goods,Ropa / Hombres / Levas,173.83,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_ve_ela_stp,VESTIDO ELA ESTAMPADO,Goods,Ropa / Mujeres / Vestidos,198.17,0.00,True,True,True,True,Talla,"L,M",
product_template_ve_ela_li,VESTIDO ELA LILA,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,L,
product_template_ve_clarisa_bge,VESTIDO CLARISA BEIGE,Goods,Ropa / Mujeres / Vestidos,182.52,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_ve_micaela_pi,VESTIDO MICAELA PISTACHO,Goods,Ropa / Mujeres / Vestidos,182.52,0.00,True,True,True,True,Talla,"L,XL",
product_template_ve_micaela_az,VESTIDO MICAELA AZUL,Goods,Ropa / Mujeres / Vestidos,182.52,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_ve_micaela_az,VESTIDO MICAELA AZUL,Goods,Ropa / Mujeres / Vestidos,182.52,0.00,True,True,True,True,Color,Azul,
product_template_ve_whit_bge,VESTIDO WHITNEY BEIGE CIRCULOS,Goods,Ropa / Mujeres / Vestidos,172.09,0.00,True,True,True,True,Talla,"L,XL",
product_template_ve_carson_mus,VESTIDO CARSON MUSTARD,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,"L,M",
product_template_ve_carson_vn,VESTIDO CARSON VINO,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,"L,XL",
product_template_ve_carson_vn,VESTIDO CARSON VINO,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Color,Vino,
product_template_set_chris_wh,SET CHRISTINE WHITE,Goods,Sin Categoria,166.87,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_set_chris_wh,SET CHRISTINE WHITE,Goods,Sin Categoria,166.87,0.00,True,True,True,True,Color,Blanco,
product_template_set_meg_ylw,SET MEGHAN YELLOW,Goods,Sin Categoria,208.61,0.00,True,True,True,True,Talla,L,
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,32,
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_zp_0907_brw,Zapato ZP-0907-BRW,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Talla,"6.5,7,7.5,8,8.5,9,9.5,10",
product_template_zp_0907_brw,Zapato ZP-0907-BRW,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_sl_line,H. CORBATA P/CABALLEROS LINEAS DIAGONALES,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_slt,H. CORBATA P/CABALLEROS SLATE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
