External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Internal Reference,Barcode
product_template_sl_line,H. CORBATA P/CABALLEROS LINEAS DIAGONALES,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-LINE,SL-LINE
product_template_sl_slt,H. CORBATA P/CABALLEROS SLATE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-SLT,SL-SLT
product_template_sl_org,H. CORBATA P/CABALLEROS ORANGE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-ORG,SL-ORG
product_template_sl_pur,H. CORBATA P/CABALLEROS PURPLE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-PUR,SL-PUR
product_template_sl_par,H. CORBATA P/CABALLEROS PALO ROSA,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-PAR,SL-PAR
product_template_sl_slm,H. CORBATA P/CABALLEROS SALMON,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-SLM,SL-SLM
product_template_sl_mok,H. CORBATA P/CABALLEROS MOKA,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-MOK,SL-MOK
product_template_sl_gld,H. CORBATA P/CABALLEROS GOLD,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-GLD,SL-GLD
product_template_sl_camel,H. CORBATA P/CABALLEROS CAMELL,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-CAMEL,SL-CAMEL
product_template_sl_bge,H. CORBATA P/CABALLEROS BEIGE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,SL-BGE,SL-BGE
product_template_car_tous_cab,CARTERA TOUS CABULLA,Goods,Sin Categoria,86.87,0.00,True,True,True,True,CAR-TOUS-CAB,CAR-TOUS-CAB
product_template_car_coach_gam,CARTERA COACH GAMUSA,Goods,Sin Categoria,70.35,0.00,True,True,True,True,CAR-COACH-GAM,CAR-COACH-GAM
product_template_car_coach_ca_lab,CARTERA COACH LABRADA CAFÉ,Goods,Sin Categoria,74.70,0.00,True,True,True,True,CAR-COACH-CA-LAB,CAR-COACH-CA-LAB
product_template_car_coach_ne_lab,CARTERA COACH LABRADA NEGRA,Goods,Sin Categoria,62.52,0.00,True,True,True,True,CAR-COACH-NE-LAB,CAR-COACH-NE-LAB
product_template_car_coach_cr,CARTERA COACH CREMA DE MANO,Goods,Sin Categoria,70.35,0.00,True,True,True,True,CAR-COACH-CR,CAR-COACH-CR
product_template_car_coach_cha,CARTERA COACH CHAROL,Goods,Sin Categoria,62.52,0.00,True,True,True,True,CAR-COACH-CHA,CAR-COACH-CHA
