product_tmpl_id/id,Internal Reference,Name,Variant Values,Sales Price,Cost
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/60,Leva 23E4246-15-PAT,Talla: 60,173.83,0.00
__import__.product_template_23e4246_13_pat,23E4246-13-PAT/58,Leva 23E4246-13-PAT,Talla: 58,173.83,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/46,Leva 23E4246-15-PAT,Talla: 46,173.83,0.00
__import__.product_template_geo1982_1,GEO1982-1/48,Leva GEO1982-1,Talla: 48,165.13,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/48,Leva 23E4246-15-PAT,Talla: 48,173.83,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/50,Leva 23E4246-15-PAT,Talla: 50,173.83,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/52,Leva 23E4246-15-PAT,Talla: 52,173.83,0.00
__import__.product_template_24b11398_157,24B11398-157/46,Leva 24B11398-157,Talla: 46,165.13,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/54,Leva 23E4246-15-PAT,Talla: 54,173.83,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/56,Leva 23E4246-15-PAT,Talla: 56,173.83,0.00
__import__.product_template_23e4246_15_pat,23E4246-15-PAT/58,Leva 23E4246-15-PAT,Talla: 58,173.83,0.00
__import__.product_template_hd19152_4,HD19152-4/50,Leva HD19152-4,Talla: 50,165.13,0.00
__import__.product_template_24b11398_157,24B11398-157/48,Leva 24B11398-157,Talla: 48,165.13,0.00
__import__.product_template_24b11398_157,24B11398-157/50,Leva 24B11398-157,Talla: 50,165.13,0.00
__import__.product_template_geo1982_1,GEO1982-1/50,Leva GEO1982-1,Talla: 50,165.13,0.00
__import__.product_template_geo1982_1,GEO1982-1/52,Leva GEO1982-1,Talla: 52,165.13,0.00
__import__.product_template_23e4246_16_pat,23E4246-16-PAT/54,Leva 23E4246-16-PAT,Talla: 54,173.83,0.00
__import__.product_template_23e4246_16_pat,23E4246-16-PAT/52,Leva 23E4246-16-PAT,Talla: 52,173.83,0.00
__import__.product_template_23e4246_16_pat,23E4246-16-PAT/50,Leva 23E4246-16-PAT,Talla: 50,173.83,0.00
__import__.product_template_geo1982_4,GEO1982-4/50,Leva GEO1982-4,Talla: 50,165.13,0.00
__import__.product_template_23e4246_16,23E4246-16/52,Leva 23E4246-16,Talla: 52,165.13,0.00
__import__.product_template_23e4246_16,23E4246-16/54,Leva 23E4246-16,Talla: 54,165.13,0.00
__import__.product_template_24b11398_157,24B11398-157/60,Leva 24B11398-157,Talla: 60,165.13,0.00
__import__.product_template_24b11398_157,24B11398-157/58,Leva 24B11398-157,Talla: 58,165.13,0.00
__import__.product_template_24b11398_157,24B11398-157/56,Leva 24B11398-157,Talla: 56,165.13,0.00
__import__.product_template_23e4246_16_pat,23E4246-16-PAT/48,Leva 23E4246-16-PAT,Talla: 48,173.83,0.00
__import__.product_template_23e4246_16_pat,23E4246-16-PAT/46,Leva 23E4246-16-PAT,Talla: 46,173.83,0.00
__import__.product_template_geo1982_1,GEO1982-1/56,Leva GEO1982-1,Talla: 56,165.13,0.00
