Product Template External ID,Product Template Name,Internal Reference,Barcode,Talla,Color,Manga de Camisa,Ancho Corbata,Marca,Sales Price,Cost,Product Category
product_template_ve_ela_stp,VESTIDO ELA ESTAMPADO,VE-ELA-STP-M,VE-ELA-STP-M,M,,,,,198.17,0.00,Ropa / Mujeres / Vestidos
product_template_ve_ela_stp,VESTIDO ELA ESTAMPADO,VE-ELA-STP-L,VE-ELA-STP-L,L,,,,,198.17,0.00,Ropa / Mujeres / Vestidos
product_template_ve_ela_li,VESTIDO ELA LILA,VE-ELA-LI-L,VE-ELA-LI-L,L,,,,,156.43,0.00,Ropa / Mujeres / Vestidos
product_template_ve_clarisa_bge,VESTIDO CLARISA BEIGE,VE-CLARISA-BGE-XL,VE-CLARISA-BGE-XL,XL,,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_clarisa_bge,VESTIDO CLARISA BEIGE,VE-CLARISA-BGE-M,VE-CLARISA-BGE-M,M,,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_clarisa_bge,VESTIDO CLARISA BEIGE,VE-CLARISA-BGE-L,VE-CLARISA-BGE-L,L,,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_micaela_pi,VESTIDO MICAELA PISTACHO,VE-MICAELA-PI-XL,VE-MICAELA-PI-XL,XL,,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_micaela_pi,VESTIDO MICAELA PISTACHO,VE-MICAELA-PI-L,VE-MICAELA-PI-L,L,,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_micaela_az,VESTIDO MICAELA AZUL,VE-MICAELA-AZ-XL,VE-MICAELA-AZ-XL,XL,Azul,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_micaela_az,VESTIDO MICAELA AZUL,VE-MICAELA-AZ-L,VE-MICAELA-AZ-L,L,Azul,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_micaela_az,VESTIDO MICAELA AZUL,VE-MICAELA-AZ-M,VE-MICAELA-AZ-M,M,Azul,,,,182.52,0.00,Ropa / Mujeres / Vestidos
product_template_ve_whit_bge,VESTIDO WHITNEY BEIGE CIRCULOS,VE-WHIT-BGE-XL,VE-WHIT-BGE-XL,XL,,,,,172.09,0.00,Ropa / Mujeres / Vestidos
product_template_ve_whit_bge,VESTIDO WHITNEY BEIGE CIRCULOS,VE-WHIT-BGE-L,VE-WHIT-BGE-L,L,,,,,172.09,0.00,Ropa / Mujeres / Vestidos
product_template_ve_carson_mus,VESTIDO CARSON MUSTARD,VE-CARSON-MUS-M,VE-CARSON-MUS-M,M,,,,,156.43,0.00,Ropa / Mujeres / Vestidos
product_template_ve_carson_mus,VESTIDO CARSON MUSTARD,VE-CARSON-MUS-L,VE-CARSON-MUS-L,L,,,,,156.43,0.00,Ropa / Mujeres / Vestidos
product_template_ve_carson_vn,VESTIDO CARSON VINO,VE-CARSON-VN-XL,VE-CARSON-VN-XL,XL,Vino,,,,156.43,0.00,Ropa / Mujeres / Vestidos
product_template_ve_carson_vn,VESTIDO CARSON VINO,VE-CARSON-VN-L,VE-CARSON-VN-L,L,Vino,,,,156.43,0.00,Ropa / Mujeres / Vestidos
product_template_set_chris_wh,SET CHRISTINE WHITE,SET-CHRIS-WH-XL,SET-CHRIS-WH-XL,XL,Blanco,,,,166.87,0.00,Sin Categoria
product_template_set_chris_wh,SET CHRISTINE WHITE,SET-CHRIS-WH-M,SET-CHRIS-WH-M,M,Blanco,,,,166.87,0.00,Sin Categoria
product_template_set_chris_wh,SET CHRISTINE WHITE,SET-CHRIS-WH-L,SET-CHRIS-WH-L,L,Blanco,,,,166.87,0.00,Sin Categoria
product_template_set_meg_ylw,SET MEGHAN YELLOW,SET-MEG-YLW-L,SET-MEG-YLW-L,L,,,,,208.61,0.00,Sin Categoria
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,PT-25C29118-10/32,PT-25C29118-10/32,32,,,,Bruno Cassini,47.74,0.00,Ropa / Hombres / Pantalones
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/10,ZP-0907-BRW/10,10,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/9.5,ZP-0907-BRW/9.5,9.5,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/9,ZP-0907-BRW/9,9,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/8.5,ZP-0907-BRW/8.5,8.5,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/7.5,ZP-0907-BRW/7.5,7.5,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/7,ZP-0907-BRW/7,7,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_zp_0907_brw,Zapato ZP-0907-BRW,ZP-0907-BRW/6.5,ZP-0907-BRW/6.5,6.5,,,,Bruno Cassini,152.09,0.00,Ropa / Hombres / Zapatos
product_template_sl_line,H. CORBATA P/CABALLEROS LINEAS DIAGONALES,SL-LINE,SL-LINE,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_slt,H. CORBATA P/CABALLEROS SLATE,SL-SLT,SL-SLT,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_org,H. CORBATA P/CABALLEROS ORANGE,SL-ORG,SL-ORG,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_pur,H. CORBATA P/CABALLEROS PURPLE,SL-PUR,SL-PUR,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_red,H. CORBATA P/CABALLEROS RED,SL-RED,SL-RED,,Rojo,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_par,H. CORBATA P/CABALLEROS PALO ROSA,SL-PAR,SL-PAR,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_slm,H. CORBATA P/CABALLEROS SALMON,SL-SLM,SL-SLM,SLM,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_mok,H. CORBATA P/CABALLEROS MOKA,SL-MOK,SL-MOK,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_wine,H. CORBATA P/CABALLEROS WINE,SL-WINE,SL-WINE,,Vino,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_gld,H. CORBATA P/CABALLEROS GOLD,SL-GLD,SL-GLD,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_camel,H. CORBATA P/CABALLEROS CAMELL,SL-CAMEL,SL-CAMEL,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_bge,H. CORBATA P/CABALLEROS BEIGE,SL-BGE,SL-BGE,,,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_gray,H. CORBATA P/CABALLEROS GREY,SL-GRAY,SL-GRAY,,Gris,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_dgrey,H. CORBATA P/CABALLEROS DARK GREY,SL-DGREY,SL-DGREY,,Gris,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_green,H. CORBATA P/CABALLEROS GREEN,SL-GREEN,,,Verde,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_skbl,H. CORBATA P/CABALLEROS SKY BLUE,SL-SKBL,SL-SKBL,,Azul,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_blue,H. CORBATA P/CABALLEROS BLUE,SL-BLUE,SL-BLUE,,Azul,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_navy,H. CORBATA P/CABALLEROS NAVY,SL-NAVY,SL-NAVY,,Azul Marino,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_sl_black,H. CORBATA P/CABALLEROS BLACK,SL-BLACK,SL-BLACK,,Negro,,,,21.65,0.00,Ropa / Hombres / Corbatas
product_template_ve_lucero_nvy,VESTIDO LUCERO NAVY,VE-LUCERO-NVY/XL,VE-LUCERO-NVY/XL,XL,Azul Marino,,,,138.17,0.00,Ropa / Mujeres / Vestidos
product_template_ve_lucero_nvy,VESTIDO LUCERO NAVY,VE-LUCERO-NVY/L,VE-LUCERO-NVY/L,L,Azul Marino,,,,138.17,0.00,Ropa / Mujeres / Vestidos
product_template_ve_katya_pk,VESTIDO KATYA PINK,VE-KATYA-PK/L,VE-KATYA-PK/L,L,,,,,133.83,0.00,Ropa / Mujeres / Vestidos
product_template_ve_katya_az,VESTIDO KATYA AZUL,VE-KATYA-AZ/XL,VE-KATYA-AZ/XL,XL,Azul,,,,133.83,0.00,Ropa / Mujeres / Vestidos
product_template_ve_nino_bge,VESTIDO NINOSKA BEIGE,VE-NINO-BGE/S,VE-NINO-BGE/S,S,,,,,108.61,0.00,Ropa / Niños
product_template_ve_nino_bge,VESTIDO NINOSKA BEIGE,VE-NINO-BGE/M,VE-NINO-BGE/M,M,,,,,108.61,0.00,Ropa / Niños
product_template_ve_nino_bge,VESTIDO NINOSKA BEIGE,VE-NINO-BGE/L,VE-NINO-BGE/L,L,,,,,108.61,0.00,Ropa / Niños
