External ID,Name,Internal Reference,Barcode,available_in_pos,record_type,Variant Values
product_template_sl_line,H. CORBATA P/CABALLEROS LINEAS DIAGONALES,SL-LINE,SL-LINE,True,simple_product,
product_template_sl_slt,H. CORBATA P/CABALLEROS SLATE,SL-SLT,SL-SLT,True,simple_product,
product_template_sl_org,H. CORBATA P/CABALLEROS ORANGE,SL-ORG,SL-ORG,True,simple_product,
product_template_sl_pur,H. CORBATA P/CABALLEROS PURPLE,SL-PUR,SL-PUR,True,simple_product,
product_template_sl_par,H. CORBATA P/CABALLEROS PALO ROSA,SL-PAR,SL-PAR,True,simple_product,
product_template_sl_slm,H. CORBATA P/CABALLEROS SALMON,SL-SLM,SL-SLM,True,simple_product,
product_template_sl_mok,H. CORBATA P/CABALLEROS MOKA,SL-MOK,SL-MOK,True,simple_product,
product_template_sl_gld,H. CORBATA P/CABALLEROS GOLD,SL-GLD,SL-GLD,True,simple_product,
product_template_sl_camel,H. CORBATA P/CABALLEROS CAMELL,SL-CAMEL,SL-CAMEL,True,simple_product,
product_template_sl_bge,H. CORBATA P/CABALLEROS BEIGE,SL-BGE,SL-BGE,True,simple_product,
product_template_car_tous_cab,CARTERA TOUS CABULLA,CAR-TOUS-CAB,CAR-TOUS-CAB,True,simple_product,
product_template_car_coach_gam,CARTERA COACH GAMUSA,CAR-COACH-GAM,CAR-COACH-GAM,True,simple_product,
product_template_car_coach_ca_lab,CARTERA COACH LABRADA CAFÉ,CAR-COACH-CA-LAB,CAR-COACH-CA-LAB,True,simple_product,
product_template_car_coach_ne_lab,CARTERA COACH LABRADA NEGRA,CAR-COACH-NE-LAB,CAR-COACH-NE-LAB,True,simple_product,
product_template_car_coach_cr,CARTERA COACH CREMA DE MANO,CAR-COACH-CR,CAR-COACH-CR,True,simple_product,
product_template_car_coach_cha,CARTERA COACH CHAROL,CAR-COACH-CHA,CAR-COACH-CHA,True,simple_product,
product_template_car_chanel_bge,CARTERA CHANEL BEIGE,CAR-CHANEL-BGE,CAR-CHANEL-BGE,True,simple_product,
product_template_14038,M. GAFAS CHANEL VARIOS MODELOS,14038,14038,True,simple_product,
product_template_14040,M. GAFAS CHANEL VARIOS MODELOS,14040,14040,True,simple_product,
product_template_68009,M. GAFAS SAINT LAURENT VARIOS MODELOS,68009,68009,True,simple_product,
product_template_rw01n,M. GAFAS DIOR VARIOS MODELOS,RW01N,RW01N,True,simple_product,
product_template_36231,M. GAFAS CHANEL P/DAMA VARIOS MODELOS,36231,36231,True,simple_product,
product_template_gem_givenchy_gold,GEMELOS GIVENCHY GOLD,GEM-GIVENCHY-GOLD,GEM-GIVENCHY-GOLD,True,simple_product,
product_template_gem_hublot_pl,GEMELOS HUBLOT PLATA,GEM-HUBLOT-PL,GEM-HUBLOT-PL,True,simple_product,
product_template_gem_hublot_gld,GEMELOS HUBLOT GOLD,GEM-HUBLOT-GLD,GEM-HUBLOT-GLD,True,simple_product,
product_template_gem_rolex_gold,GEMELOS ROLEX GOLD,GEM-ROLEX-GOLD,GEM-ROLEX-GOLD,True,simple_product,
product_template_gem_rolex_pl,GEMELOS ROLEX PLATA,GEM-ROLEX-PL,GEM-ROLEX-PL,True,simple_product,
product_template_pan_sky_lila,PANUELO PARA HOMBRE BEIGE,PAN-SKY LILA,PAN-SKY LILA,True,simple_product,
product_template_sl_084,H CORBATA P/CABALLERO NAVY LABRADO PUNTO,SL-084,SL-084,True,simple_product,
product_template_sl_083,H CORBATA P/CABALLERO NAVY LABRADO LINEA,SL-083,SL-083,True,simple_product,
product_template_sl_082,H CORBATA P/CABALLERO AZUL PUNTOS NEGROS,SL-082,SL-082,True,simple_product,
product_template_sl_081,H CORBATA P/CABALLERO AZUL ROMBO,SL-081,SL-081,True,simple_product,
product_template_sl_080,H CORBATA P/CABALLERO AZUL PUNTOS,SL-080,SL-080,True,simple_product,
product_template_sl_079,H CORBATA P/CABALLERO AZUL ZIGZAG DIAG,SL-079,SL-079,True,simple_product,
product_template_sl_078,H CORBATA P/CABALLERO AZUL LINEA DIAG,SL-078,SL-078,True,simple_product,
product_template_sl_077,H CORBATA P/CABALLERO BLACK LINEA-PUNTO BLANCO,SL-077,SL-077,True,simple_product,
product_template_sl_076,H CORBATA P/CABALLEROS BLACK LINEAS DIAG,SL-076,SL-076,True,simple_product,
product_template_sl_075,H CORBATA P/CABALLERO GRIS LABRADO,SL-075,SL-075,True,simple_product,
product_template_sl_074,H CORBATA P/CABALLERO LILA LINEAS FINAS,SL-074,SL-074,True,simple_product,
product_template_sl_073,H CORBATA P/CABALLERO GREEN FOREST LINEAS,SL-073,SL-073,True,simple_product,
product_template_sl_072,H CORBATA P/CABALLERO GREEN LINEA DIAG,SL-072,SL-072,True,simple_product,
product_template_sl_071,H CORBATA P/CABALLERO BEIGE LINEAS FINAS,SL-071,SL-071,True,simple_product,
product_template_sl_070,H CORBATA P/CABALLERO YELLOW LINEA DIAG,SL-070,SL-070,True,simple_product,
product_template_sl_069,H CORBATA P/CABALLERO YELLOW CUADRO PEQ,SL-069,SL-069,True,simple_product,
product_template_sl_068,H CORBATA P/CABALLERO PAL-ROS LINEA DIAG,SL-068,SL-068,True,simple_product,
product_template_sl_067,H CORBATA P/CABALLERO ROJO LINEA DIAG RELIEVE,SL-067,SL-067,True,simple_product,
product_template_sl_066,H CORBATA P/CABALLERO ROJA ZICZAC DIAGONAL,SL-066,SL-066,True,simple_product,
product_template_sl_065,H CORBATA P/CABALLERO ROJO LINEAS BLANCAS,SL-065,SL-065,True,simple_product,
product_template_sl_064,H CORBATA P/CABALLERO VINO LINEA DIAGONAL,SL-064,SL-064,True,simple_product,
product_template_sl_063,H CORBATA P/CBALLERO ROMBO ROJO LINEA NEGRA,SL-063,SL-063,True,simple_product,
product_template_sl_062,H CORBATA P/CABALLERO ROJO LINEAS NEGRAS-BLANCA,SL-062,SL-062,True,simple_product,
product_template_sl_061,H CORBATA P/CABALLERO VINO PUNTOS BLANCOS,SL-061,SL-061,True,simple_product,
product_template_sl_060,H CORBATA P/CABALLERO VINO LINEAS INCLINADAS FINAS,SL-060,SL-060,True,simple_product,
product_template_sl_059,H CORBATA P/CABALLERO VINO LABRADO PIEDRA PEQ,SL-059,SL-059,True,simple_product,
product_template_sl_058,H CORBATA P/CABALLERO VINO ROMBO CUADRO MEDIANO,SL-058,SL-058,True,simple_product,
product_template_sl_057,H CORBATA P/CABALLERO VINO CUBOS,SL-057,SL-057,True,simple_product,
product_template_sl_056,H CORBATA P/CABALLEROS NAVY LABRADA,SL-056,SL-056,True,simple_product,
product_template_sl_055,H. CORBATA P/CABALLEROS NAVY LINEAS DIAGONALES,SL-055,SL-055,True,simple_product,
product_template_sl_054,H. CORBATA P/CABALLEROS GRIS LINEAS DIAGONALES,SL-054,SL-054,True,simple_product,
product_template_sl_053,H. CORBATA P/CABALLEROS LLANA ZANAHORIA,SL-053,SL-053,True,simple_product,
product_template_sl_052,H CORBATA P/CABALLEROS CALABAZA LINEAS CRUZ,SL-052,SL-052,True,simple_product,
product_template_sl_051,H. CORBATA P/CABALLEROS LINEAS NEGRAS - CELESTES,SL-051,SL-051,True,simple_product,
product_template_sl_015,H. CORBATA P/CABALLEROS AZUL LABRADO ROMBO,SL-015,SL-015,True,simple_product,
product_template_sl_029,H. CORBATA P/CABALLEROS ROSADO PUNTOS NEGROS,SL-029,SL-029,True,simple_product,
product_template_sl_014,H. CORBATA P/CABALLEROS VINO PUNTOS ROMBO,SL-014,SL-014,True,simple_product,
product_template_sl_027,H. CORBATA P/CABALLEROS BEIGE LABRADA,SL-027,SL-027,True,simple_product,
product_template_sl_035,H. CORBATA P/CABALLEROS NEGRO LABRADO,SL-035,SL-035,True,simple_product,
product_template_sl_026,H. CORBATA P/CABALLEROS AZUL LABRADA,SL-026,SL-026,True,simple_product,
product_template_sl_046,H. CORBATA P/CABALLEROS NEGRO LABRADO,SL-046,SL-046,True,simple_product,
product_template_sl_045,H. CORBATA P/CABALLEROS CELESTE APLIQUE CUADROS,SL-045,SL-045,True,simple_product,
product_template_sl_048,H. CORBATA P/CABALLEROS GRSI APLIQUE,SL-048,SL-048,True,simple_product,
product_template_sl_049,H. CORBATA P/CABALLEROS VERDE LABRADA,SL-049,SL-049,True,simple_product,
