External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,Product Values
adams_23e4246_15_pat_60,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/60,23E424615202460PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:60,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_13_pat_58,Leva 23E4246-13-PAT,Goods,23E4246-13-PAT/58,23E424613202558PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini"
adams_23e4246_15_pat_46,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/46,23E424615202446PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini,Color:Azul"
adams_geo1982_1_48,Leva GEO1982-1,Goods,GEO1982-1/48,G19820120251248,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_15_pat_48,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/48,23E424615202448PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_15_pat_50,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/50,23E424615202450PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_15_pat_52,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/52,23E424615202452PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Azul"
adams_24b11398_157_46,Leva 24B11398-157,Goods,24B11398-157/46,24B113981572546,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:46,Marca:Bruno Cassini"
adams_23e4246_15_pat_54,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/54,23E424615202454PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_15_pat_56,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/56,23E424615202456PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:56,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_15_pat_58,Leva 23E4246-15-PAT,Goods,23E4246-15-PAT/58,23E424615202458PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:58,Marca:Bruno Cassini,Color:Azul"
adams_hd19152_4_50,Leva HD19152-4,Goods,HD19152-4/50,HD1915204202550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_24b11398_157_48,Leva 24B11398-157,Goods,24B11398-157/48,24B113981572548,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:48,Marca:Bruno Cassini"
adams_24b11398_157_50,Leva 24B11398-157,Goods,24B11398-157/50,24B113981572550,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini"
adams_geo1982_1_50,Leva GEO1982-1,Goods,GEO1982-1/50,G19820120251250,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:50,Marca:Bruno Cassini,Color:Azul"
adams_geo1982_1_52,Leva GEO1982-1,Goods,GEO1982-1/52,G19820120251252,165.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Azul"
adams_23e4246_16_pat_54,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/54,23E424616202554PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:54,Marca:Bruno Cassini,Color:Gris"
adams_23e4246_16_pat_52,Leva 23E4246-16-PAT,Goods,23E4246-16-PAT/52,23E424616202552PT,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,"Talla:52,Marca:Bruno Cassini,Color:Gris"
