categoria_id,categoria_nombre_resuelta,productos_detectados
3RBe3DlqFmoxaLJr,3RBe3DlqFmoxaLJr,366
jMEeg4JzIlKNaQ5g,jMEeg4JzIlKNaQ5g,41
4pzb8L2VUjWQbEwN,4pzb8L2VUjWQbEwN,63
9pgen45LfGgxbNQx,9pgen45LfGgxbNQx,47
4pzb82yZNUjWQeEw,4pzb82yZNUjWQeEw,92
4pzb8LqVHjWQbEwN,4pzb8LqVHjWQbEwN,61
GEjb2BRlSkW6bVNW,GEjb2BRlSkW6bVNW,74
lY4er4kytA76b2Lz,lY4er4kytA76b2Lz,165
gArb63z8io7MdyR7,gArb63z8io7MdyR7,120
mloej4vjfjDAbQMG,mloej4vjfjDAbQMG,52
grRbD82pGHBwMb6L,grRbD82pGHBwMb6L,2
OjZdyg8rhNKJaJ4m,OjZdyg8rhNKJaJ4m,3
5gQbWNnlcjZxa6w2,5gQbWNnlcjZxa6w2,18
Zxgep5YGCzqya1pV,Zxgep5YGCzqya1pV,8
Q9jaKpEDCqP9bk5K,Q9jaKpEDCqP9bk5K,28
pXKdwj114tLkPbgW,pXKdwj114tLkPbgW,61
0pZeV7lpZTlmXaGW,0pZeV7lpZTlmXaGW,77
grRbDQYJDcBwMd6L,grRbDQYJDcBwMd6L,1
xGge0RJwEU2Q4bAD,xGge0RJwEU2Q4bAD,5
DkPbk45psnA4d5Y9,DkPbk45psnA4d5Y9,9
gArb68GE8Uo7MeyR,gArb68GE8Uo7MeyR,206
jMEeg45zhlKNaQ5g,jMEeg45zhlKNaQ5g,1
5gQbW6E89sjZxa6w,5gQbW6E89sjZxa6w,3
wy7aAp4EC9BVegZY,wy7aAp4EC9BVegZY,4
NO8bY7vxgu3mge7j,NO8bY7vxgu3mge7j,1
gDGe7LQRpsm2yan2,gDGe7LQRpsm2yan2,4
lwKe58WP6I03Rd31,lwKe58WP6I03Rd31,6
wJvaMzjNi5D9bpzg,wJvaMzjNi5D9bpzg,170
vj6e9M8KTmAxeWBV,vj6e9M8KTmAxeWBV,279
1mBdJwZEs8lye0J6,1mBdJwZEs8lye0J6,4
gArb68wWjio7MeyR,gArb68wWjio7MeyR,40
RYjbq4xPsOnRaLNg,RYjbq4xPsOnRaLNg,21
gArb6J6JCo7MbyR7,gArb6J6JCo7MbyR7,8
XPnazjmvcREnaO2y,XPnazjmvcREnaO2y,4
lwKe5GypU03Rb31R,lwKe5GypU03Rb31R,2
gDGe7K6ZTm2yen2x,gDGe7K6ZTm2yen2x,1
N5wbo42DhX58dxEO,N5wbo42DhX58dxEO,1
rQzaOB79fAlwep4G,rQzaOB79fAlwep4G,1
x01dNAxWCNJ9bX7W,x01dNAxWCNJ9bX7W,1
Q9jaKxO5UqP9bk5K,Q9jaKxO5UqP9bk5K,2
