product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_ar,ARETES P/DAMA V. MODELOS,9,Tallax2,"Talla: 15,Talla: 15"
__import__.product_template_ft11389_p1335,BLUSA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_ft9708,BLUSA (ft9708),9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_cot_3but_blu,BLUSA 3 BUTTONS COTTON BLUE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_cot_3but_ol,BLUSA 3 BUTTONS COTTON OLIVE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_ariana_est,BLUSA ARIANA EST AZUL T. S-M-L,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_butt_wh,BLUSA BUTTERFLY WHITE,9,Tallax2,"Talla: M,Talla: M"
__import__.product_template_bl_dafne_az_ro,BLUSA DAFNE P/DAMA AZUL ROSA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_luna_azn,BLUSA LUNA AZUL,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_luna_cl,BLUSA LUNA CELESTE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_encanto_wh,BLUSA NARANJA-ROSA 2025 BLANCO,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_encanto_ter,BLUSA NARANJA-ROSA 2025 TERRACOTA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_clarisse,BLUSA NUDE-BLACK-WHITE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_org_blu,BLUSA ORGANZA SATIN BLUE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_org_moc,BLUSA ORGANZA SATIN MOCHA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_org_wh,BLUSA ORGANZA SATIN WHITE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_blus_brigida,BLUSA P/DAMA MOPA BLANCA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_blusa_hanna_ne,BLUSA P/DAMA MOPPA NEGRA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_blusa_hanna_ro,BLUSA P/DAMA MOPPA ROJA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_rive_cel,BLUSA RIVERA CELESTE,9,Tallax2,"Talla: M,Talla: M"
__import__.product_template_bl_rive_wh,BLUSA RIVERA WHITE,9,Tallax2,"Talla: M,Talla: M"
__import__.product_template_bl_satin_lgr,BLUSA SATIN CIEN L/GRAY,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_t1653,BLUSA TWIST FRONT SATIN ROJO,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bl_vale_mok,BLUSA VALENTINE MOKA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bsut_ar,BODYSUITE ASH ROSE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bsut_sleves_ch,BODYSUITE CHARCOAL,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bsut_sleves_lts,BODYSUITE LT SAGE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bsut_str_az,BODYSUITE STRETCH AZUL,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_bsut_str_vn,BODYSUITE STRETCH VINO,16,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_bsut_str_wh,BODYSUITE STRETCH WHITE,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_andrea_azn_consig,CAMISA ANDREA AZUL MARINO,25,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cam_andrea_az_no_consig,CAMISA ANDREA AZUL NOCHE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_andrea_wht_consig,CAMISA ANDREA WHITE,25,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cam_roma_azul,CAMISA M/C DAMA ROMA AZUL,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_roma_beige,CAMISA M/C DAMA ROMA BEIGE,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_roma_blanco,CAMISA M/C DAMA ROMA BLANCO,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_roma_black,CAMISA M/C DAMA ROMA NEGRO,4,Tallax2,"Talla: M,Talla: M"
__import__.product_template_cuwff020_112,CAMISA M/C P/H BRILLIANT WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwmf006_119,CAMISA M/C P/H EGRET CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsf021_119,CAMISA M/C P/H EGRET CUBAVERA (cuwsf021_119),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_m_l_firenze_azul,CAMISA M/L FIRENZE AZUL,16,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cam_m_l_firenze_black,CAMISA M/L FIRENZE BLACK,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cam_m_l_firenze_cl,CAMISA M/L FIRENZE CELESTE,16,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cuwsp501_485s,CAMISA P/H M/C AQCUA CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwf2109_118,CAMISA P/H M/C BRIGHT WHITE CUBAVERA,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfd040_112,CAMISA P/H M/C BRILLIANT WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfd040_457,CAMISA P/H M/C CLEAR SKY CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwmd027_415,CAMISA P/H M/C DARK BLUE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwhe007_450,CAMISA P/H M/C DREAM BLUE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_c03_232s_iv,CAMISA P/H M/C IVORY LONG BEACH,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp501_475l,CAMISA P/H M/C LT. BLUE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_c03_232s_nv,CAMISA P/H M/C NAVY LONG BEACH,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp501_100s,CAMISA P/H M/C WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
