product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost,match_failure_reason
__import__.product_template_ve_ela_li,VE-ELA-LI-L,VE-ELA-LI-L,VESTIDO ELA LILA,Talla: L,156.43,0.00,No matching variant in Odoo export
__import__.product_template_set_meg_ylw,SET-MEG-YLW-L,SET-MEG-YLW-L,SET MEGHAN YELLOW,Talla: L,208.61,0.00,No matching variant in Odoo export
__import__.product_template_pt_25c29118_10,PT-25C29118-10/32,PT-25C29118-10/32,Pantalon PT-25C29118-10,Talla: 32,47.74,0.00,No matching variant in Odoo export
__import__.product_template_ve_katya_pk,VE-KATYA-PK/L,VE-KATYA-PK/L,VESTIDO KATYA PINK,Talla: L,133.83,0.00,No matching variant in Odoo export
__import__.product_template_ve_katya_az,VE-KATYA-AZ/XL,VE-KATYA-AZ/XL,VESTIDO KATYA AZUL,Talla: XL,133.83,0.00,No matching variant in Odoo export
__import__.product_template_pt_24e510097_5,PT-24E510097-5/46,PT-24E510097-5/46,Pantalon PT-24E510097-5,Talla: 46,65.13,0.00,No matching variant in Odoo export
__import__.product_template_pt_24e2712_3,PT-24E2712-3/36,PT24E27123/36,Pantalon PT-24E2712-3,Talla: 36,56.43,0.00,No matching variant in Odoo export
__import__.product_template_pt_25c29118_13,PT-25C29118-13/38,PT-25C29118-13/38,Pantalon PT-25C29118-13,Talla: 38,47.74,0.00,No matching variant in Odoo export
__import__.product_template_lv_25c29118_13,LV-25C29118-13/54,LV-25C29118-13/54,Leva LV-25C29118-13,Talla: 54,173.83,0.00,No matching variant in Odoo export
__import__.product_template_ch_24es296_4,CH-24ES296-4/50,24ES2964C1240950,Chaleco CH-24ES296-4,Talla: 50,43.39,0.00,No matching variant in Odoo export
__import__.product_template_lv_24b11210_100,LV-24B11210-100/50,LV24B11210100/50,Leva LV-24B11210-100,Talla: 50,173.83,0.00,No matching variant in Odoo export
__import__.product_template_ve_milenag_grn,VE-MILENAG-GRN/M,VEMILENAGRN/M,VESTIDO MILENA GREEN,Talla: M,52.96,0.00,No matching variant in Odoo export
__import__.product_template_ve_stela_az,VE-STELA-AZ/L,VE-STELA-AZ/L,VESTIDO STELA AZUL,Talla: L,147.74,0.00,No matching variant in Odoo export
__import__.product_template_ve_ariadna_bge,VE-ARIADNA-BGE/S,VEARIADNABGE/S,VESTIDO ARIADNA BEIGE,Talla: S,139.91,0.00,No matching variant in Odoo export
__import__.product_template_mr_10845_1,MR-10845-1/7,MR-10845-1/7,Terno MR-10845-1,Ancho Corbata: 7 cm,21.65,0.00,No matching variant in Odoo export
