External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Internal Reference,Barcode
product_template_unmatched_ve-ela-li-l,VESTIDO ELA LILA Talla: L,Goods,All / ADAMS / Sin categoría,156.43,0.00,True,True,True,True,VE-ELA-LI-L,VE-ELA-LI-L
product_template_unmatched_set-meg-ylw-l,SET MEGHAN YELLOW Talla: L,Goods,All / ADAMS / Sin categoría,208.61,0.00,True,True,True,True,SET-MEG-YLW-L,SET-MEG-YLW-L
product_template_unmatched_pt-25c29118-10_32,Pantalon PT-25C29118-10 Talla: 32,Goods,All / ADAMS / Sin categoría,47.74,0.00,True,True,True,True,PT-25C29118-10/32,PT-25C29118-10/32
product_template_unmatched_ve-katya-pk_l,VESTIDO KATYA PINK Talla: L,Goods,All / ADAMS / Sin categoría,133.83,0.00,True,True,True,True,VE-KATYA-PK/L,VE-KATYA-PK/L
product_template_unmatched_ve-katya-az_xl,VESTIDO KATYA AZUL Talla: XL,Goods,All / ADAMS / Sin categoría,133.83,0.00,True,True,True,True,VE-KATYA-AZ/XL,VE-KATYA-AZ/XL
product_template_unmatched_pt-24e510097-5_46,Pantalon PT-24E510097-5 Talla: 46,Goods,All / ADAMS / Sin categoría,65.13,0.00,True,True,True,True,PT-24E510097-5/46,PT-24E510097-5/46
product_template_unmatched_pt-24e2712-3_36,Pantalon PT-24E2712-3 Talla: 36,Goods,All / ADAMS / Sin categoría,56.43,0.00,True,True,True,True,PT-24E2712-3/36,PT24E27123/36
product_template_unmatched_pt-25c29118-13_38,Pantalon PT-25C29118-13 Talla: 38,Goods,All / ADAMS / Sin categoría,47.74,0.00,True,True,True,True,PT-25C29118-13/38,PT-25C29118-13/38
product_template_unmatched_lv-25c29118-13_54,Leva LV-25C29118-13 Talla: 54,Goods,All / ADAMS / Sin categoría,173.83,0.00,True,True,True,True,LV-25C29118-13/54,LV-25C29118-13/54
product_template_unmatched_ch-24es296-4_50,Chaleco CH-24ES296-4 Talla: 50,Goods,All / ADAMS / Sin categoría,43.39,0.00,True,True,True,True,CH-24ES296-4/50,24ES2964C1240950
product_template_unmatched_lv-24b11210-100_50,Leva LV-24B11210-100 Talla: 50,Goods,All / ADAMS / Sin categoría,173.83,0.00,True,True,True,True,LV-24B11210-100/50,LV24B11210100/50
product_template_unmatched_ve-milenag-grn_m,VESTIDO MILENA GREEN Talla: M,Goods,All / ADAMS / Sin categoría,52.96,0.00,True,True,True,True,VE-MILENAG-GRN/M,VEMILENAGRN/M
product_template_unmatched_ve-stela-az_l,VESTIDO STELA AZUL Talla: L,Goods,All / ADAMS / Sin categoría,147.74,0.00,True,True,True,True,VE-STELA-AZ/L,VE-STELA-AZ/L
product_template_unmatched_ve-ariadna-bge_s,VESTIDO ARIADNA BEIGE Talla: S,Goods,All / ADAMS / Sin categoría,139.91,0.00,True,True,True,True,VE-ARIADNA-BGE/S,VEARIADNABGE/S
product_template_unmatched_mr-10845-1_7,Terno MR-10845-1 Ancho Corbata: 7 cm,Goods,All / ADAMS / Sin categoría,21.65,0.00,True,True,True,True,MR-10845-1/7,MR-10845-1/7
product_template_unmatched_lv-24c28061-76_56,Leva LV-24C28061-76 Talla: 56,Goods,All / ADAMS / Sin categoría,165.13,0.00,True,True,True,True,LV-24C28061-76/56,LV-24C28061-76/O56
product_template_unmatched_pt-2070-2_28,Pantalon PT-2070-2 Talla: 28,Goods,All / ADAMS / Sin categoría,39.04,0.00,True,True,True,True,PT-2070-2/28,PT-2070-2/28
product_template_unmatched_lv-23a29607-32_56,Leva LV-23A29607-32 Talla: 56,Goods,All / ADAMS / Sin categoría,173.83,0.00,True,True,True,True,LV-23A29607-32/56,LV-23A29607-32/56
product_template_unmatched_ve-paulina-mag-s,VESTIDO PAULINA MAGENTA Talla: S,Goods,All / ADAMS / Sin categoría,159.04,0.00,True,True,True,True,VE-PAULINA-MAG-S,VE-PAULINA-MAG-S
product_template_unmatched_lv-008-black-2_46,Leva LV-008-BLACK-2 Talla: 46,Goods,All / ADAMS / Sin categoría,173.83,0.00,True,True,True,True,LV-008-BLACK-2/46,LV-008-BLACK-2/46
product_template_unmatched_lv-23c25168-220_50,Leva LV-23C25168-220 Talla: 50,Goods,All / ADAMS / Sin categoría,173.83,0.00,True,True,True,True,LV-23C25168-220/50,LV-23C25168-220/50
product_template_unmatched_ref-clara-ve_m,M. VESTIDO MOPA VERDE Talla: M,Goods,All / ADAMS / Sin categoría,156.43,0.00,True,True,True,True,REF-CLARA-VE/M,REF-CLARA-VE/OM
product_template_unmatched_ref-margarita-rj_s,M. VESTIDO MOPA ESTAMPADO ROJO Talla: S,Goods,All / ADAMS / Sin categoría,166.00,0.00,True,True,True,True,REF-MARGARITA-RJ/S,REF-MARGARITA-RJ/OS
product_template_unmatched_ref-elena-az_m,M. VESTIDO MOPA AZUL (ref_elena_az) Talla: M,Goods,All / ADAMS / Sin categoría,139.91,0.00,True,True,True,True,REF-ELENA-AZ/M,REF-ELENA-AZ/OM
product_template_unmatched_ve-passion-esl_10,Terno VE-PASSION-ESL Talla: 10,Goods,All / ADAMS / Sin categoría,344.26,0.00,True,True,True,True,VE-PASSION-ESL/10,VEPASSIONESL10
