id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_129701_1f751342,23E4246-15-PAT/60,23E424615202460PT,173.83,0.00
__export__.product_product_129742_2b69d799,23E4246-13-PAT/58,23E424613202558PT,173.83,0.00
__export__.product_product_129638_5ef32bda,23E4246-15-PAT/46,23E424615202446PT,173.83,0.00
__export__.product_product_129760_80d479c7,GEO1982-1/48,G19820120251248,165.13,0.00
__export__.product_product_129647_86a592e1,23E4246-15-PAT/48,23E424615202448PT,173.83,0.00
__export__.product_product_129656_d02f477c,23E4246-15-PAT/50,23E424615202450PT,173.83,0.00
__export__.product_product_129665_4e0f1618,23E4246-15-PAT/52,23E424615202452PT,173.83,0.00
__export__.product_product_129815_7baba7f0,24B11398-157/46,24B113981572546,165.13,0.00
__export__.product_product_129674_75ef441b,23E4246-15-PAT/54,23E424615202454PT,173.83,0.00
__export__.product_product_129683_6432253c,23E4246-15-PAT/56,23E424615202456PT,173.83,0.00
__export__.product_product_129692_c6a1289c,23E4246-15-PAT/58,23E424615202458PT,173.83,0.00
__export__.product_product_129897_a82a6288,HD19152-4/50,HD1915204202550,165.13,0.00
__export__.product_product_129824_c60a4b44,24B11398-157/48,24B113981572548,165.13,0.00
__export__.product_product_129833_c13ba834,24B11398-157/50,24B113981572550,165.13,0.00
__export__.product_product_129769_fdbfb8af,GEO1982-1/50,G19820120251250,165.13,0.00
__export__.product_product_129778_9e98e43b,GEO1982-1/52,G19820120251252,165.13,0.00
__export__.product_product_129979_4c3afa15,23E4246-16-PAT/54,23E424616202554PT,173.83,0.00
__export__.product_product_129970_5954a066,23E4246-16-PAT/52,23E424616202552PT,173.83,0.00
__export__.product_product_129961_021f0b13,23E4246-16-PAT/50,23E424616202550PT,173.83,0.00
__export__.product_product_130025_e938bc33,GEO1982-4/50,G19820420251250,165.13,0.00
__export__.product_product_130098_9a69fa77,23E4246-16/52,23E424616202552,165.13,0.00
__export__.product_product_130107_c672a39e,23E4246-16/54,23E424616202554,165.13,0.00
__export__.product_product_129878_7c746408,24B11398-157/60,24B113981572560,165.13,0.00
__export__.product_product_129869_4f45d582,24B11398-157/58,24B113981572558,165.13,0.00
__export__.product_product_129860_e5ed0a53,24B11398-157/56,24B113981572556,165.13,0.00
__export__.product_product_129952_7ba44eb1,23E4246-16-PAT/48,23E424616202548PT,173.83,0.00
__export__.product_product_129943_eddcd207,23E4246-16-PAT/46,23E424616202546PT,173.83,0.00
__export__.product_product_129796_a9fdf5cf,GEO1982-1/56,G19820120251256,165.13,0.00
__export__.product_product_130006_726d1974,23E4246-16-PAT/60,23E424616202560PT,173.83,0.00
__export__.product_product_130016_0ee01354,GEO1982-4/48,G19820420251248,165.13,0.00
__export__.product_product_129906_ed7a722d,HD19152-4/52,HD1915204202552,165.13,0.00
__export__.product_product_129915_3c74b2fb,HD19152-4/54,HD1915204202554,165.13,0.00
__export__.product_product_129888_cf770ade,HD19152-4/48,HD1915204202548,165.13,0.00
